taxid,input_term,domain,kingdom,phylum,class,order,family,genus,species
1915583,Methanosarcina_sp_UBA369,d__Archaea,k__Archaea,p__Euryarchaeota,c__Methanomicrobia,o__Methanosarcinales,f__Methanosarcinaceae,g__Methanosarcina,s__Methanosarcina_sp_UBA369
1705564,Candidatus_Methanofastidiosum_methylthiophilus,d__Archaea,k__Archaea,p__Euryarchaeota,c__Candidatus_Methanofastidiosa,o__Candidatus_Methanofastidiosum__G+,f__Candidatus_Methanofastidiosum__G+,g__Candidatus_Methanofastidiosum,s__Candidatus_Methanofastidiosum_methylthiophilus
1915767,Euryarchaeota_archaeon_UBA33,d__Archaea,k__Archaea,p__Euryarchaeota,c__Euryarchaeota_archaeon_UBA33__S+,o__Euryarchaeota_archaeon_UBA33__S+,f__Euryarchaeota_archaeon_UBA33__S+,g__Euryarchaeota_archaeon_UBA33__S+,s__Euryarchaeota_archaeon_UBA33
930945,Sulfolobus_islandicus_REY15A,d__Archaea,k__Archaea,p__Crenarchaeota,c__Thermoprotei,o__Sulfolobales,f__Sulfolobaceae,g__Sulfolobus,s__Sulfolobus_islandicus
1853684,Haloarcula_sp_CBA1129,d__Archaea,k__Archaea,p__Euryarchaeota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__Haloarcula,s__Haloarcula_sp_CBA1129
2022468,Methanimicrococcus_sp,d__Archaea,k__Archaea,p__Euryarchaeota,c__Methanomicrobia,o__Methanosarcinales,f__Methanosarcinaceae,g__Methanimicrococcus,s__Methanimicrococcus_sp
183760,uncultured_Methanomicrobiales_archaeon,d__Archaea,k__Archaea,p__Euryarchaeota,c__Methanomicrobia,o__Methanomicrobiales,f__uncultured_Methanomicrobiales_archaeon__S+,g__uncultured_Methanomicrobiales_archaeon__S+,s__uncultured_Methanomicrobiales_archaeon
1811675,Methanobacterium_sp_PtaU1_Bin097,d__Archaea,k__Archaea,p__Euryarchaeota,c__Methanobacteria,o__Methanobacteriales,f__Methanobacteriaceae,g__Methanobacterium,s__Methanobacterium_sp_PtaU1_Bin097
1561964,Methanosphaera_sp_WGK6,d__Archaea,k__Archaea,p__Euryarchaeota,c__Methanobacteria,o__Methanobacteriales,f__Methanobacteriaceae,g__Methanosphaera,s__Methanosphaera_sp_WGK6
1915577,Methanosarcina_sp_UBA304,d__Archaea,k__Archaea,p__Euryarchaeota,c__Methanomicrobia,o__Methanosarcinales,f__Methanosarcinaceae,g__Methanosarcina,s__Methanosarcina_sp_UBA304
1915621,Methanobacteriaceae_archaeon_UBA254,d__Archaea,k__Archaea,p__Euryarchaeota,c__Methanobacteria,o__Methanobacteriales,f__Methanobacteriaceae,g__Methanobacteriaceae_archaeon_UBA254__S+,s__Methanobacteriaceae_archaeon_UBA254
1227468,Halorubrum_distributum_JCM_10118,d__Archaea,k__Archaea,p__Euryarchaeota,c__Halobacteria,o__Haloferacales,f__Halorubraceae,g__Halorubrum,s__Halorubrum_distributum
2014242,Candidatus_Altiarchaeum_sp_CG12_big_fil_rev_8_21_14_0_65_33_22,d__Archaea,k__Archaea,p__Candidatus_Altiarchaeota,c__Candidatus_Altiarchaeales__O+,o__Candidatus_Altiarchaeales,f__Candidatus_Altiarchaeum__G+,g__Candidatus_Altiarchaeum,s__Candidatus_Altiarchaeum_sp_CG12_big_fil_rev_8_21_14_0_65_33_22
1852879,Euryarchaeota_archaeon_ADurb_BinA087,d__Archaea,k__Archaea,p__Euryarchaeota,c__Euryarchaeota_archaeon_ADurb_BinA087__S+,o__Euryarchaeota_archaeon_ADurb_BinA087__S+,f__Euryarchaeota_archaeon_ADurb_BinA087__S+,g__Euryarchaeota_archaeon_ADurb_BinA087__S+,s__Euryarchaeota_archaeon_ADurb_BinA087
1679489,Haladaptatus_sp_R4,d__Archaea,k__Archaea,p__Euryarchaeota,c__Halobacteria,o__Halobacteriales,f__Halobacteriaceae,g__Haladaptatus,s__Haladaptatus_sp_R4
