"Level","Source","Spacer_count","T_self","T_virus","T_others","T_self_r","T_virus_r","T_others_r","genome_count"
"Species","s__Thermoplasmata archaeon",399,170,18,211,0.4261,0.0451,0.5288,94
"Species","s__Methanosarcina mazei",4233,2657,1445,131,0.6277,0.3414,0.0309,71
"Species","s__Thermoplasmatales archaeon",1431,489,202,740,0.3417,0.1412,0.5171,57
"Species","s__Sulfolobus acidocaldarius",7290,7200,13,77,0.9877,0.0018,0.0105,55
"Species","s__Thermococcus sp.",359,170,3,186,0.4735,0.0084,0.5181,42
"Species","s__Desulfurococcales archaeon",229,56,4,169,0.2445,0.0175,0.738,39
"Species","s__Candidatus Micrarchaeota archaeon",124,42,6,76,0.3387,0.0484,0.6129,30
"Species","s__archaeon",165,25,5,135,0.1515,0.0303,0.8182,30
"Species","s__uncultured Methanobrevibacter sp.",228,32,157,39,0.1404,0.6886,0.171,27
"Species","s__Archaeoglobaceae archaeon",99,40,9,50,0.404,0.0909,0.5051,24
"Species","s__Methanobrevibacter smithii",341,38,276,27,0.1114,0.8094,0.0792,22
"Species","s__Sulfolobus islandicus",140,29,90,21,0.2071,0.6429,0.15,22
"Species","s__Acidilobaceae archaeon",132,46,2,84,0.3485,0.0152,0.6363,21
"Species","s__Candidatus Heimdallarchaeota archaeon",53,47,0,6,0.8868,0,0.1132,21
"Species","s__Thermoprotei archaeon",85,16,1,68,0.1882,0.0118,0.8,19
"Species","s__Euryarchaeota archaeon",104,3,60,41,0.0288,0.5769,0.3943,18
"Species","s__Methanothrix sp.",198,22,147,29,0.1111,0.7424,0.1465,18
"Species","s__Candidatus Bathyarchaeota archaeon",171,14,112,45,0.0819,0.655,0.2631,17
"Species","s__DHVE2 group archaeon",53,29,0,24,0.5472,0,0.4528,15
"Species","s__Candidatus Aenigmarchaeota archaeon",63,10,18,35,0.1587,0.2857,0.5556,14
"Species","s__Candidatus Woesearchaeota archaeon",75,4,40,31,0.0533,0.5333,0.4134,14
"Species","s__Nitrososphaerota archaeon",113,70,4,39,0.6195,0.0354,0.3451,14
"Species","s__Pyrodictiaceae archaeon",69,49,1,19,0.7101,0.0145,0.2754,14
"Species","s__Saccharolobus solfataricus",1567,1241,267,59,0.792,0.1704,0.0376,14
"Species","s__Candidatus Thermoplasmatota archaeon",42,2,13,27,0.0476,0.3095,0.6429,13
"Species","s__Methanoculleus sp.",132,5,98,29,0.0379,0.7424,0.2197,13
"Species","s__Ferroplasma sp.",31,16,0,15,0.5161,0,0.4839,12
"Species","s__Methanothrix harundinacea",132,7,110,15,0.053,0.8333,0.1137,12
"Species","s__Candidatus Terraquivivens tengchongensis",37,37,0,0,1,0,0,11
"Species","s__Candidatus Geocrenenecus dongiae",18,18,0,0,1,0,0,10
"Species","s__Candidatus Methanoperedens sp.",28,6,0,22,0.2143,0,0.7857,10
"Species","s__Metallosphaera sedula",628,381,112,135,0.6067,0.1783,0.215,10
"Species","s__Nitrososphaeria archaeon",59,4,0,55,0.0678,0,0.9322,10
"Species","s__uncultured Methanosarcinales archaeon",129,125,4,0,0.969,0.031,0,10
"Species","s__DPANN group archaeon",25,18,0,7,0.72,0,0.28,9
"Species","s__Halobacterium hubeiense",108,29,36,43,0.2685,0.3333,0.3982,8
"Species","s__Methanococcus maripaludis",46,20,26,0,0.4348,0.5652,0,8
"Species","s__Thermoproteota archaeon",31,7,6,18,0.2258,0.1935,0.5807,8
"Species","s__uncultured Methanomicrobiales archaeon",24,24,0,0,1,0,0,8
"Species","s__Candidatus Mancarchaeum sp.",66,13,0,53,0.197,0,0.803,7
"Species","s__Candidatus Parvarchaeota archaeon",56,14,0,42,0.25,0,0.75,7
"Species","s__Haloferax volcanii",38,0,8,30,0,0.2105,0.7895,7
"Species","s__uncultured Methanomassiliicoccales archaeon",308,2,75,231,0.0065,0.2435,0.75,7
"Species","s__Candidatus Korarchaeota archaeon",38,4,11,23,0.1053,0.2895,0.6052,6
"Species","s__Ferroplasma acidiphilum",108,2,0,106,0.0185,0,0.9815,6
"Species","s__Methanobacteriaceae archaeon",51,5,33,13,0.098,0.6471,0.2549,6
"Species","s__Methanosarcina barkeri",43,8,14,21,0.186,0.3256,0.4884,6
"Species","s__Methanosarcinales archaeon",82,6,62,14,0.0732,0.7561,0.1707,6
"Species","s__Sulfolobales archaeon",104,89,3,12,0.8558,0.0288,0.1154,6
"Species","s__Candidatus Diapherotrites archaeon",18,15,0,3,0.8333,0,0.1667,5
"Species","s__Candidatus Lokiarchaeota archaeon",20,12,5,3,0.6,0.25,0.15,5
"Species","s__Methanobacterium formicicum",76,6,54,16,0.0789,0.7105,0.2106,5
"Species","s__Methanomicrobiales archaeon",87,0,80,7,0,0.9195,0.0805,5
"Species","s__Methanophagales archaeon",11,3,3,5,0.2727,0.2727,0.4546,5
"Species","s__Pyrobaculum aerophilum",42,4,0,38,0.0952,0,0.9048,5
"Species","s__Thermofilum sp.",28,27,0,1,0.9643,0,0.0357,5
"Species","s__Thermoproteales archaeon",77,2,0,75,0.026,0,0.974,5
"Species","s__uncultured Nitrososphaerota archaeon",43,0,28,15,0,0.6512,0.3488,5
"Species","s__Archaeoglobi archaeon",21,5,15,1,0.2381,0.7143,0.0476,4
"Species","s__Candidatus Altiarchaeum sp.",6,3,0,3,0.5,0,0.5,4
"Species","s__Candidatus Geocrenenecus huangii",17,17,0,0,1,0,0,4
"Species","s__Candidatus Hydrothermarchaeota archaeon",6,0,0,6,0,0,1,4
"Species","s__Candidatus Methanomassiliicoccus intestinalis",26,6,20,0,0.2308,0.7692,0,4
"Species","s__Candidatus Methanomethylophilaceae archaeon",5,1,0,4,0.2,0,0.8,4
"Species","s__Candidatus Methanomethylophilus alvus",25,3,0,22,0.12,0,0.88,4
"Species","s__Candidatus Pacearchaeota archaeon",38,0,36,2,0,0.9474,0.0526,4
"Species","s__Candidatus Verstraetearchaeota archaeon",21,2,1,18,0.0952,0.0476,0.8572,4
"Species","s__Desulfurococcaceae archaeon",10,10,0,0,1,0,0,4
"Species","s__Haloferax mediterranei",8,0,0,8,0,0,1,4
"Species","s__Halomicrobium mukohataei",9,0,0,9,0,0,1,4
"Species","s__Methanobacterium sp.",27,1,16,10,0.037,0.5926,0.3704,4
"Species","s__Methanobrevibacter oralis",146,145,0,1,0.9932,0,0.0068,4
"Species","s__Methanocaldococcus sp.",28,5,9,14,0.1786,0.3214,0.5,4
"Species","s__Methanococcus voltae",20,20,0,0,1,0,0,4
"Species","s__Methanoculleus bourgensis",84,0,73,11,0,0.869,0.131,4
"Species","s__Methanohalophilus euhalobius",79,0,75,4,0,0.9494,0.0506,4
"Species","s__Methanomicrobiaceae archaeon",19,3,14,2,0.1579,0.7368,0.1053,4
"Species","s__Methanosarcina thermophila",142,6,131,5,0.0423,0.9225,0.0352,4
"Species","s__Nanoarchaeota archaeon",13,1,1,11,0.0769,0.0769,0.8462,4
"Species","s__Saccharolobus shibatae",13,6,4,3,0.4615,0.3077,0.2308,4
"Species","s__Thermococci archaeon",8,0,6,2,0,0.75,0.25,4
"Species","s__Aciduliprofundum sp.",3,1,0,2,0.3333,0,0.6667,3
"Species","s__Archaeoglobus fulgidus",41,31,10,0,0.7561,0.2439,0,3
"Species","s__Candidatus Culexarchaeum yellowstonense",16,10,5,1,0.625,0.3125,0.0625,3
"Species","s__Candidatus Marsarchaeota archaeon",19,6,0,13,0.3158,0,0.6842,3
"Species","s__Candidatus Methanospirare jalkutatii",19,0,0,19,0,0,1,3
"Species","s__Ferroplasmaceae archaeon",39,0,0,39,0,0,1,3
"Species","s__Haloferax alexandrinus",40,3,4,33,0.075,0.1,0.825,3
"Species","s__Halorubrum ezzemoulense",6,4,2,0,0.6667,0.3333,0,3
"Species","s__Halorubrum lacusprofundi",62,0,49,13,0,0.7903,0.2097,3
"Species","s__Methanobrevibacter boviskoreani",21,0,10,11,0,0.4762,0.5238,3
"Species","s__Methanobrevibacter ruminantium",6,2,1,3,0.3333,0.1667,0.5,3
"Species","s__Methanobrevibacter woesei",6,5,0,1,0.8333,0,0.1667,3
"Species","s__Methanocaldococcaceae archaeon",11,5,4,2,0.4545,0.3636,0.1819,3
"Species","s__Methanohalophilus portucalensis",13,10,3,0,0.7692,0.2308,0,3
"Species","s__Methanoregula sp.",6,0,6,0,0,1,0,3
"Species","s__Methanosphaera stadtmanae",45,0,15,30,0,0.3333,0.6667,3
"Species","s__Methanothrix soehngenii",17,0,13,4,0,0.7647,0.2353,3
"Species","s__Natrinema thermotolerans",12,4,7,1,0.3333,0.5833,0.0834,3
"Species","s__Natronobacterium gregoryi",369,363,0,6,0.9837,0,0.0163,3
"Species","s__Pyrobaculum arsenaticum",41,9,0,32,0.2195,0,0.7805,3
"Species","s__Sulfuracidifex tepidarius",9,7,0,2,0.7778,0,0.2222,3
"Species","s__Thermococcaceae archaeon",19,5,2,12,0.2632,0.1053,0.6315,3
"Species","s__Thermococcus thioreducens",10,7,0,3,0.7,0,0.3,3
"Species","s__Thermofilaceae archaeon",88,71,0,17,0.8068,0,0.1932,3
"Species","s__Thermoplasmataceae archaeon",4,0,0,4,0,0,1,3
"Species","s__uncultured Methanosphaera sp.",17,0,7,10,0,0.4118,0.5882,3
"Species","s__Acidianus ambivalens",4,2,0,2,0.5,0,0.5,2
"Species","s__Acidianus hospitalis",20,0,12,8,0,0.6,0.4,2
"Species","s__Acidianus infernus",11,3,8,0,0.2727,0.7273,0,2
"Species","s__Acidiplasma aeolicum",26,2,0,24,0.0769,0,0.9231,2
"Species","s__Acidiplasma cupricumulans",4,0,0,4,0,0,1,2
"Species","s__Acidiplasma sp.",6,4,0,2,0.6667,0,0.3333,2
"Species","s__Aeropyrum camini",2,0,2,0,0,1,0,2
"Species","s__Aeropyrum pernix",5,1,4,0,0.2,0.8,0,2
"Species","s__Archaeoglobales archaeon",7,5,1,1,0.7143,0.1429,0.1428,2
"Species","s__Candidatus Korarchaeum cryptofilum",19,19,0,0,1,0,0,2
"Species","s__Candidatus Methanofastidiosum methylthiophilus",5,0,5,0,0,1,0,2
"Species","s__Candidatus Methanofastidiosum sp.",5,0,5,0,0,1,0,2
"Species","s__Candidatus Methanoperedenaceae archaeon",3,0,0,3,0,0,1,2
"Species","s__Candidatus Methanoperedenaceae archaeon GB37",10,0,3,7,0,0.3,0.7,2
"Species","s__Candidatus Methanoperedenaceae archaeon GB50",17,0,8,9,0,0.4706,0.5294,2
"Species","s__Candidatus Methanoxibalbensis ujae",7,7,0,0,1,0,0,2
"Species","s__Candidatus Nezhaarchaeota archaeon",12,12,0,0,1,0,0,2
"Species","s__Candidatus Nitrosocaldus schleperae",2,2,0,0,1,0,0,2
"Species","s__Candidatus Nitrosocaldus sp.",6,6,0,0,1,0,0,2
"Species","s__Candidatus Nitrosothermus koennekii",2,2,0,0,1,0,0,2
"Species","s__Candidatus Sysuiplasma jiujiangense",4,0,0,4,0,0,1,2
"Species","s__Candidatus Terraquivivens ruidianensis",8,8,0,0,1,0,0,2
"Species","s__Candidatus Wolframiiraptor sinensis",2,2,0,0,1,0,0,2
"Species","s__Cuniculiplasma divulgatum",20,0,3,17,0,0.15,0.85,2
"Species","s__Hadesarchaea archaeon",14,0,13,1,0,0.9286,0.0714,2
"Species","s__Haladaptatus paucihalophilus",24,24,0,0,1,0,0,2
"Species","s__Halarchaeum acidiphilum",15,12,1,2,0.8,0.0667,0.1333,2
"Species","s__Halarchaeum rubridurum",4,2,2,0,0.5,0.5,0,2
"Species","s__Haloarcula hispanica",4,0,0,4,0,0,1,2
"Species","s__Haloarcula sinaiiensis",6,0,4,2,0,0.6667,0.3333,2
"Species","s__Halobiforma lacisalsi",2,0,0,2,0,0,1,2
"Species","s__Haloferax larsenii",4,3,0,1,0.75,0,0.25,2
"Species","s__Haloferax massiliensis",16,0,12,4,0,0.75,0.25,2
"Species","s__Haloferax prahovense",19,0,18,1,0,0.9474,0.0526,2
"Species","s__Halogeometricum borinquense",6,3,1,2,0.5,0.1667,0.3333,2
"Species","s__Halohasta litchfieldiae",62,4,54,4,0.0645,0.871,0.0645,2
"Species","s__Metallosphaera prunae",73,0,1,72,0,0.0137,0.9863,2
"Species","s__Methanobacterium subterraneum",4,0,3,1,0,0.75,0.25,2
"Species","s__Methanobacterium veterum",6,0,6,0,0,1,0,2
"Species","s__Methanobrevibacter arboriphilus",4,1,3,0,0.25,0.75,0,2
"Species","s__Methanobrevibacter millerae",6,0,6,0,0,1,0,2
"Species","s__Methanobrevibacter olleyae",19,1,18,0,0.0526,0.9474,0,2
"Species","s__Methanobrevibacter sp.",8,0,2,6,0,0.25,0.75,2
"Species","s__Methanocaldococcus lauensis",26,3,8,15,0.1154,0.3077,0.5769,2
"Species","s__Methanococcaceae archaeon",3,1,0,2,0.3333,0,0.6667,2
"Species","s__Methanoculleus chikugoensis",32,6,21,5,0.1875,0.6562,0.1563,2
"Species","s__Methanoculleus thermophilus",14,0,9,5,0,0.6429,0.3571,2
"Species","s__Methanohalophilus sp.",30,0,28,2,0,0.9333,0.0667,2
"Species","s__Methanomethylovorans sp.",4,4,0,0,1,0,0,2
"Species","s__Methanosarcina flavescens",71,4,65,2,0.0563,0.9155,0.0282,2
"Species","s__Methanosarcina sp.",3,0,3,0,0,1,0,2
"Species","s__Methanospirillum hungatei",18,0,14,4,0,0.7778,0.2222,2
"Species","s__Methanospirillum sp.",28,1,26,1,0.0357,0.9286,0.0357,2
"Species","s__Methanothermobacter marburgensis",10,0,10,0,0,1,0,2
"Species","s__Methanothermobacter sp.",18,0,15,3,0,0.8333,0.1667,2
"Species","s__Methanothermobacter wolfeii",30,0,29,1,0,0.9667,0.0333,2
"Species","s__Methanothermococcus thermolithotrophicus",23,20,0,3,0.8696,0,0.1304,2
"Species","s__Methanotrichaceae archaeon",2,0,1,1,0,0.5,0.5,2
"Species","s__Nitrososphaeraceae archaeon",2,2,0,0,1,0,0,2
"Species","s__Pyrococcus horikoshii",2,2,0,0,1,0,0,2
"Species","s__Sulfuracidifex metallicus",2,2,0,0,1,0,0,2
"Species","s__Sulfurisphaera ohwakuensis",34,0,0,34,0,0,1,2
"Species","s__Sulfurisphaera tokodaii",13,0,5,8,0,0.3846,0.6154,2
"Species","s__Thermococcus litoralis",30,0,21,9,0,0.7,0.3,2
"Species","s__Thermococcus paralvinellae",2,1,0,1,0.5,0,0.5,2
"Species","s__Thermococcus peptonophilus",10,0,0,10,0,0,1,2
"Species","s__Thermoplasmatales archaeon E-plasma",15,1,0,14,0.0667,0,0.9333,2
"Species","s__Thermoplasmatales archaeon I-plasma",4,0,0,4,0,0,1,2
"Species","s__haloarchaeon 3A1-DGR",12,0,2,10,0,0.1667,0.8333,2
"Species","s__uncultured Methanobacterium sp.",67,1,0,66,0.0149,0,0.9851,2
"Species","s__uncultured Thermoplasmata archaeon",10,0,0,10,0,0,1,2
"Species","s__ANME-2 cluster archaeon",1,0,0,1,0,0,1,1
"Species","s__Acidianus brierleyi",22,0,8,14,0,0.3636,0.6364,1
"Species","s__Acidianus manzaensis",2,0,0,2,0,0,1,1
"Species","s__Acidianus sp. HS-5",1,0,0,1,0,0,1,1
"Species","s__Acidiplasma sp. MBA-1",7,0,0,7,0,0,1,1
"Species","s__Aciduliprofundum sp. JdFR-45",1,0,0,1,0,0,1,1
"Species","s__Aigarchaeota archaeon JGI 0000001-B8",1,0,1,0,0,1,0,1
"Species","s__Aigarchaeota archaeon SCGC AAA471-A16",2,0,0,2,0,0,1,1
"Species","s__Aigarchaeota archaeon SCGC AAA471-E16",6,0,2,4,0,0.3333,0.6667,1
"Species","s__Aigarchaeota archaeon SCGC AAA471-F17",5,0,1,4,0,0.2,0.8,1
