"Level","Source","Spacer_count","T_self","T_virus","T_others","T_self_r","T_virus_r","T_others_r","genome_count"
"Species","s__Salmonella enterica",12046533,10089892,1613734,342907,0.8376,0.134,0.0284,437017
"Species","s__Escherichia coli",2468064,1580023,435136,452905,0.6402,0.1763,0.1835,138378
"Species","s__Listeria monocytogenes",764776,376223,329860,58693,0.4919,0.4313,0.0768,22902
"Species","s__Clostridioides difficile",1376754,729389,559635,87730,0.5298,0.4065,0.0637,15290
"Species","s__Klebsiella pneumoniae",398216,167244,117674,113298,0.42,0.2955,0.2845,14493
"Species","s__Pseudomonas aeruginosa",353133,80807,231146,41180,0.2288,0.6546,0.1166,10893
"Species","s__Campylobacter jejuni",66443,18081,5795,42567,0.2721,0.0872,0.6407,9178
"Species","s__Mycobacterium tuberculosis",195979,191909,18,4052,0.9792,0.0001,0.0207,6698
"Species","s__Campylobacter coli",49168,17579,5474,26115,0.3575,0.1113,0.5312,5639
"Species","s__Enterococcus faecalis",39340,16127,13879,9334,0.4099,0.3528,0.2373,3571
"Species","s__Acinetobacter baumannii",116383,46668,57687,12028,0.401,0.4957,0.1033,2085
"Species","s__Legionella pneumophila",53834,51762,2071,1,0.9615,0.0385,0,1915
"Species","s__Neisseria meningitidis",20680,6903,8583,5194,0.3338,0.415,0.2512,1675
"Species","s__Staphylococcus pseudintermedius",29737,10841,9652,9244,0.3646,0.3246,0.3108,1486
"Species","s__uncultured Clostridia bacterium",6547,1144,3358,2045,0.1747,0.5129,0.3124,1235
"Species","s__uncultured Lachnospiraceae bacterium",8764,1757,4052,2955,0.2005,0.4623,0.3372,1161
"Species","s__Clostridium botulinum",20430,10165,7337,2928,0.4976,0.3591,0.1433,1125
"Species","s__Cronobacter sakazakii",19965,13988,3084,2893,0.7006,0.1545,0.1449,1047
"Species","s__Vibrio cholerae",26163,10441,11910,3812,0.3991,0.4552,0.1457,967
"Species","s__Streptococcus agalactiae",17419,3164,10304,3951,0.1816,0.5915,0.2269,942
"Species","s__Listeria innocua",9729,2670,3064,3995,0.2744,0.3149,0.4107,937
"Species","s__Enterobacter hormaechei",15751,8861,2582,4308,0.5626,0.1639,0.2735,789
"Species","s__Staphylococcus haemolyticus",329,58,72,199,0.1763,0.2188,0.6049,777
"Species","s__Streptococcus suis",7513,3609,3616,288,0.4804,0.4813,0.0383,759
"Species","s__Streptococcus pyogenes",7976,1048,6526,402,0.1314,0.8182,0.0504,736
