"generation"	"mean"	"se"	"Group"
10000	1.763926e-05	1.283544e-07	"M"
20000	3.459525e-05	8.633163e-08	"M"
30000	4.797263e-05	1.339935e-07	"M"
40000	6.084117e-05	1.265995e-07	"M"
50000	7.21349e-05	1.292671e-07	"M"
60000	8.230135e-05	1.467971e-07	"M"
70000	9.168891e-05	1.427318e-07	"M"
80000	0.0001003059	1.721594e-07	"M"
90000	0.0001083301	1.707321e-07	"M"
1e+05	0.0001161058	1.694857e-07	"M"
110000	0.0001237216	1.5679e-07	"M"
120000	0.0001306174	1.622634e-07	"M"
130000	0.0001370452	1.614234e-07	"M"
140000	0.0001437339	1.47552e-07	"M"
150000	0.0001497334	1.801027e-07	"M"
160000	0.0001555555	1.484859e-07	"M"
170000	0.0001615018	1.392771e-07	"M"
180000	0.0001666466	1.278499e-07	"M"
190000	0.000172384	1.178929e-07	"M"
2e+05	0.0001771863	1.283387e-07	"M"
210000	0.0001826327	1.11686e-07	"M"
220000	0.0001871791	1.184936e-07	"M"
230000	0.000192395	1.248891e-07	"M"
240000	0.0001967016	1.485239e-07	"M"
250000	0.0002016576	1.655882e-07	"M"
260000	0.0002058091	1.52426e-07	"M"
270000	0.0002104469	1.705516e-07	"M"
280000	0.0002146831	1.503695e-07	"M"
290000	0.0002187937	1.646829e-07	"M"
3e+05	0.0002232188	1.589781e-07	"M"
310000	0.0002269106	1.721851e-07	"M"
320000	0.0002312562	1.872883e-07	"M"
330000	0.0002349846	1.690218e-07	"M"
340000	0.0002387821	1.813125e-07	"M"
350000	0.0002428838	1.786817e-07	"M"
360000	0.0002462204	1.762563e-07	"M"
370000	0.0002501444	1.959076e-07	"M"
380000	0.0002538309	1.918022e-07	"M"
390000	0.0002570733	2.021074e-07	"M"
4e+05	0.0002609672	2.139405e-07	"M"
410000	0.0002643632	1.762916e-07	"M"
420000	0.0002675483	1.827655e-07	"M"
430000	0.0002713075	1.940026e-07	"M"
440000	0.0002745071	1.68717e-07	"M"
450000	0.0002775845	1.837497e-07	"M"
460000	0.000281242	1.949339e-07	"M"
470000	0.0002843457	1.690771e-07	"M"
480000	0.0002872822	1.950423e-07	"M"
490000	0.0002907858	1.984307e-07	"M"
5e+05	0.0002939081	1.648472e-07	"M"
510000	0.0002966571	1.806766e-07	"M"
520000	0.0002999789	1.956899e-07	"M"
530000	0.0003031619	1.812753e-07	"M"
540000	0.0003057963	1.832647e-07	"M"
550000	0.000308834	2.258129e-07	"M"
560000	0.0003120948	2.187408e-07	"M"
570000	0.0003147813	1.92419e-07	"M"
580000	0.0003174874	2.083605e-07	"M"
590000	0.0003206673	2.327043e-07	"M"
6e+05	0.0003235388	2.151398e-07	"M"
610000	0.0003260272	1.983946e-07	"M"
620000	0.0003289073	2.28758e-07	"M"
630000	0.000331958	2.225678e-07	"M"
640000	0.0003344982	1.815777e-07	"M"
650000	0.0003369761	1.972346e-07	"M"
660000	0.0003399057	2.200702e-07	"M"
670000	0.000342764	1.958967e-07	"M"
680000	0.0003451189	1.863683e-07	"M"
690000	0.0003476301	2.111146e-07	"M"
7e+05	0.0003505421	2.15367e-07	"M"
710000	0.0003532103	1.948044e-07	"M"
720000	0.0003554804	2.006599e-07	"M"
730000	0.0003579935	2.169219e-07	"M"
740000	0.0003608301	2.16517e-07	"M"
750000	0.000363366	1.986756e-07	"M"
760000	0.0003655672	1.986007e-07	"M"
770000	0.0003680335	2.328285e-07	"M"
780000	0.0003707741	2.166401e-07	"M"
790000	0.0003732543	1.929849e-07	"M"
8e+05	0.0003754138	1.994323e-07	"M"
810000	0.0003777685	2.070119e-07	"M"
820000	0.0003804216	2.001115e-07	"M"
830000	0.0003828911	1.747606e-07	"M"
840000	0.0003850144	1.648589e-07	"M"
850000	0.0003872294	1.898455e-07	"M"
860000	0.0003897942	1.960698e-07	"M"
870000	0.0003922812	1.778431e-07	"M"
880000	0.000394404	1.653186e-07	"M"
890000	0.0003964911	1.791848e-07	"M"
9e+05	0.0003989009	2.038066e-07	"M"
910000	0.0004014111	1.944798e-07	"M"
920000	0.0004036114	1.741956e-07	"M"
930000	0.0004056075	1.763403e-07	"M"
940000	0.0004078104	2.221189e-07	"M"
950000	0.0004102716	2.304132e-07	"M"
960000	0.0004125848	1.991935e-07	"M"
970000	0.0004145926	1.720798e-07	"M"
980000	0.0004165919	1.861111e-07	"M"
990000	0.0004188797	2.133648e-07	"M"
1e+06	0.0004212575	2.058363e-07	"M"
10000	1.747597e-05	4.644116e-07	"MD"
20000	3.403603e-05	3.748885e-07	"MD"
30000	4.684872e-05	7.965124e-07	"MD"
40000	5.877148e-05	9.628589e-07	"MD"
50000	6.909401e-05	1.078686e-06	"MD"
60000	7.849498e-05	1.226939e-06	"MD"
70000	8.684289e-05	1.496818e-06	"MD"
80000	9.420792e-05	1.823704e-06	"MD"
90000	0.0001010898	1.952438e-06	"MD"
1e+05	0.0001076375	1.975183e-06	"MD"
110000	0.0001138899	2.330216e-06	"MD"
120000	0.0001194802	2.395037e-06	"MD"
130000	0.0001250234	2.529233e-06	"MD"
140000	0.0001302386	2.447614e-06	"MD"
150000	0.0001350898	3.126993e-06	"MD"
160000	0.000139529	3.12298e-06	"MD"
170000	0.0001444983	3.477053e-06	"MD"
180000	0.0001481831	3.76449e-06	"MD"
190000	0.0001515989	4.332605e-06	"MD"
2e+05	0.0001552532	4.654478e-06	"MD"
210000	0.000159079	4.952387e-06	"MD"
220000	0.0001617103	5.825624e-06	"MD"
230000	0.000165307	6.068512e-06	"MD"
240000	0.0001675211	6.616363e-06	"MD"
250000	0.0001706585	7.653219e-06	"MD"
260000	0.0001733935	7.98648e-06	"MD"
270000	0.0001760483	8.66589e-06	"MD"
280000	0.0001786481	8.963292e-06	"MD"
290000	0.0001815037	8.863601e-06	"MD"
3e+05	0.0001842795	9.387178e-06	"MD"
310000	0.0001864067	9.68436e-06	"MD"
320000	0.0001886629	9.967685e-06	"MD"
330000	0.0001906835	1.094469e-05	"MD"
340000	0.0001929791	1.139135e-05	"MD"
