"group","arc_genome","bac_genome","dis","arc_subtype","bac_subtype"
"Cas1","GCF_000245275.1_ASM24527v2_genomic.fna","GCA_001800205.1_ASM180020v1_genomic.fna",0.940283354,"TypeIA","TypeID"
"Cas1","GCF_002214565.1_ASM221456v1_genomic.fna","GCA_001800205.1_ASM180020v1_genomic.fna",0.866388689,"TypeIIIA","TypeID"
"Cas1","GCF_001477655.1_ASM147765v1_genomic.fna","GCF_011038695.1_ASM1103869v1_genomic.fna",0.449209159,"TypeIIIA","TypeIIIB"
"Cas1","GCA_002505275.1_ASM250527v1_genomic.fna","GCF_011751945.2_ASM1175194v2_genomic.fna",0.591146963,"TypeIIA","TypeIIA"
"Cas1","GCA_002508625.1_ASM250862v1_genomic.fna","GCF_011751945.2_ASM1175194v2_genomic.fna",0.632946455,"TypeIIA","TypeIIA"
"Cas1","GCF_000300255.2_ASM30025v2_genomic.fna","GCF_016117655.1_ASM1611765v1_genomic.fna",0.735605668,"TypeU","TypeU"
"Cas1","GCA_002506905.1_ASM250690v1_genomic.fna","GCF_016117655.1_ASM1611765v1_genomic.fna",0.76424358,"TypeU","TypeU"
"Cas1","GCA_009777615.1_ASM977761v1_genomic.fna","GCF_016117655.1_ASM1611765v1_genomic.fna",0.829041369,"TypeU","TypeU"
"Cas1","GCF_000800805.1_ASM80080v1_genomic.fna","GCF_016117655.1_ASM1611765v1_genomic.fna",0.812391161,"TypeU","TypeU"
"Cas1","GCF_000152265.2_ASM15226v2_genomic.fna","GCF_000364165.2_ASM36416v2_genomic.fna",0.476893043,"TypeIB","TypeIIIA"
"Cas1","GCA_007896465.1_ASM789646v1_genomic.fna","GCA_002898255.1_ASM289825v1_genomic.fna",0.979389884,"TypeIB","TypeIB"
"Cas1","GCA_025041235.1_ASM2504123v1_genomic.fna","GCA_002898255.1_ASM289825v1_genomic.fna",1.042850392,"TypeIB","TypeIB"
"Cas1","GCF_024138125.1_ASM2413812v1_genomic.fna","GCA_002898255.1_ASM289825v1_genomic.fna",0.908995717,"TypeIB","TypeIB"
"Cas1","GCF_021233435.1_ASM2123343v1_genomic.fna","GCA_002898255.1_ASM289825v1_genomic.fna",1.08854857,"TypeIB","TypeIB"
"Cas1","GCA_003023215.1_ASM302321v1_genomic.fna","GCA_002898255.1_ASM289825v1_genomic.fna",1.024854055,"TypeIB","TypeIB"
"Cas1","GCF_009663395.1_ASM966339v1_genomic.fna","GCA_002898255.1_ASM289825v1_genomic.fna",1.052517697,"TypeIB","TypeIB"
"Cas1","GCF_011602445.1_ASM1160244v1_genomic.fna","GCA_002898255.1_ASM289825v1_genomic.fna",1.07011771,"TypeIB","TypeIB"
"Cas1","GCA_003020985.1_ASM302098v1_genomic.fna","GCA_002898255.1_ASM289825v1_genomic.fna",1.029047522,"TypeIB","TypeIB"
"Cas1","GCA_003021175.1_ASM302117v1_genomic.fna","GCA_002898255.1_ASM289825v1_genomic.fna",1.095960281,"TypeIB","TypeIB"
"Cas1","GCF_000306765.2_ASM30676v2_genomic.fna","GCA_002898255.1_ASM289825v1_genomic.fna",1.105243711,"TypeIB","TypeIB"
"Cas1","GCF_014647475.1_ASM1464747v1_genomic.fna","GCA_002898255.1_ASM289825v1_genomic.fna",1.009448083,"TypeIB","TypeIB"
"Cas1","GCF_000379085.1_ASM37908v1_genomic.fna","GCA_002898255.1_ASM289825v1_genomic.fna",1.006507581,"TypeIB","TypeIB"
"Cas1","GCF_009617995.1_ASM961799v1_genomic.fna","GCA_002898255.1_ASM289825v1_genomic.fna",1.011013713,"TypeIB","TypeIB"
"Cas1","GCF_012726095.1_ASM1272609v1_genomic.fna","GCA_002898255.1_ASM289825v1_genomic.fna",1.017298506,"TypeIB","TypeIB"
"Cas1","GCF_014646875.1_ASM1464687v1_genomic.fna","GCA_002898255.1_ASM289825v1_genomic.fna",1.111010621,"TypeIB","TypeIB"
"Cas1","GCF_024464655.1_ASM2446465v1_genomic.fna","GCA_002898255.1_ASM289825v1_genomic.fna",1.098569105,"TypeIB","TypeIB"
"Cas1","GCF_005938085.1_ASM593808v1_genomic.fna","GCA_002898255.1_ASM289825v1_genomic.fna",1.055942179,"TypeIB","TypeIB"
"Cas1","GCF_000281695.1_ASM28169v1_genomic.fna","GCA_002898255.1_ASM289825v1_genomic.fna",1.070453267,"TypeIB","TypeIB"
"Cas1","GCF_000337175.1_ASM33717v1_genomic.fna","GCA_002898255.1_ASM289825v1_genomic.fna",1.069593763,"TypeIB","TypeIB"
"Cas1","GCA_004799625.1_ASM479962v1_genomic.fna","GCA_002898255.1_ASM289825v1_genomic.fna",1.06777054,"TypeIB","TypeIB"
"Cas1","GCF_001953745.1_ASM195374v1_genomic.fna","GCA_002898255.1_ASM289825v1_genomic.fna",1.062265839,"TypeIB","TypeIB"
"Cas1","GCF_019599465.1_ASM1959946v1_genomic.fna","GCA_002898255.1_ASM289825v1_genomic.fna",1.052031122,"TypeIB","TypeIB"
"Cas1","GCF_001011115.1_ASM101111v1_genomic.fna","GCA_002898255.1_ASM289825v1_genomic.fna",1.12935317,"TypeIB","TypeIB"
"Cas1","GCF_013839425.1_ASM1383942v1_genomic.fna","GCA_002898255.1_ASM289825v1_genomic.fna",1.089504202,"TypeIB","TypeIB"
"Cas1","GCF_000023945.1_ASM2394v1_genomic.fna","GCA_002898255.1_ASM289825v1_genomic.fna",1.111082873,"TypeIB","TypeIB"
"Cas1","GCF_900880625.1_WSM64_genomic.fna","GCA_002898255.1_ASM289825v1_genomic.fna",1.136736275,"TypeIB","TypeIB"
"Cas1","GCF_009690625.1_ASM969062v1_genomic.fna","GCA_002898255.1_ASM289825v1_genomic.fna",1.110261642,"TypeIB","TypeIB"
"Cas1","GCF_009797925.1_ASM979792v1_genomic.fna","GCA_002898255.1_ASM289825v1_genomic.fna",1.115870546,"TypeIB","TypeIB"
"Cas1","GCF_003602035.1_ASM360203v1_genomic.fna","GCA_002898255.1_ASM289825v1_genomic.fna",1.06862315,"TypeIB","TypeIB"
"Cas1","GCF_013415885.1_ASM1341588v1_genomic.fna","GCA_002898255.1_ASM289825v1_genomic.fna",0.967683064,"TypeIB","TypeIB"
"Cas1","GCA_000447865.2_ASM44786v2_genomic.fna","GCA_002898255.1_ASM289825v1_genomic.fna",1.055629336,"TypeIB","TypeIB"
"Cas1","GCF_000337915.1_ASM33791v1_genomic.fna","GCA_002898255.1_ASM289825v1_genomic.fna",1.083824365,"TypeIB","TypeIB"
"Cas1","GCF_003781945.1_ASM378194v1_genomic.fna","GCA_002898255.1_ASM289825v1_genomic.fna",1.052176835,"TypeIB","TypeIB"
"Cas1","GCF_008806815.1_ASM880681v1_genomic.fna","GCA_002898255.1_ASM289825v1_genomic.fna",1.094238918,"TypeIB","TypeIB"
"Cas1","GCA_003020945.1_ASM302094v1_genomic.fna","GCA_002898255.1_ASM289825v1_genomic.fna",1.003224467,"TypeIB","TypeIB"
"Cas1","GCF_017874235.1_ASM1787423v1_genomic.fna","GCA_002898255.1_ASM289825v1_genomic.fna",1.041851463,"TypeIB","TypeIB"
"Cas1","GCA_017357105.2_ASM1735710v2_genomic.fna","GCA_002898255.1_ASM289825v1_genomic.fna",1.109454965,"TypeIB","TypeIB"
"Cas1","GCF_000336875.1_ASM33687v1_genomic.fna","GCA_002898255.1_ASM289825v1_genomic.fna",1.142067308,"TypeIB","TypeIB"
"Cas1","GCF_007833275.1_ASM783327v1_genomic.fna","GCA_002898255.1_ASM289825v1_genomic.fna",1.130934215,"TypeIB","TypeIB"
"Cas1","GCF_000230955.2_ASM23095v3_genomic.fna","GCA_002898255.1_ASM289825v1_genomic.fna",1.133767334,"TypeIB","TypeIB"
"Cas1","GCF_001280455.1_ASM128045v1_genomic.fna","GCA_002898255.1_ASM289825v1_genomic.fna",1.144383413,"TypeIB","TypeIB"
"Cas1","GCF_008806895.1_ASM880689v1_genomic.fna","GCA_002898255.1_ASM289825v1_genomic.fna",1.138962126,"TypeIB","TypeIB"
"Cas1","GCF_900005775.1_ASM90000577v1_genomic.fna","GCA_002898255.1_ASM289825v1_genomic.fna",1.125093897,"TypeIB","TypeIB"
"Cas1","GCF_025629245.1_ASM2562924v1_genomic.fna","GCA_002898255.1_ASM289825v1_genomic.fna",0.946253125,"TypeIB","TypeIB"
"Cas1","GCF_003344565.1_ASM334456v1_genomic.fna","GCA_002898255.1_ASM289825v1_genomic.fna",0.99675611,"TypeIB","TypeIB"
"Cas1","GCF_006543045.1_ASM654304v1_genomic.fna","GCA_002898255.1_ASM289825v1_genomic.fna",1.043701935,"TypeIB","TypeIB"
"Cas1","GCF_000230715.2_ASM23071v3_genomic.fna","GCA_002898255.1_ASM289825v1_genomic.fna",1.123067164,"TypeIB","TypeIB"
"Cas1","GCF_013402815.2_ASM1340281v2_genomic.fna","GCA_002898255.1_ASM289825v1_genomic.fna",1.148781926,"TypeIB","TypeIB"
"Cas1","GCF_024362485.1_ASM2436248v1_genomic.fna","GCA_002898255.1_ASM289825v1_genomic.fna",0.970372712,"TypeIB","TypeIB"
"Cas1","GCF_014530665.1_ASM1453066v1_genomic.fna","GCA_002898255.1_ASM289825v1_genomic.fna",1.029175483,"TypeIB","TypeIB"
"Cas1","GCF_003383015.1_ASM338301v1_genomic.fna","GCA_002898255.1_ASM289825v1_genomic.fna",1.030016308,"TypeIB","TypeIB"
"Cas1","GCF_003383005.1_ASM338300v1_genomic.fna","GCA_002898255.1_ASM289825v1_genomic.fna",1.03001576,"TypeIB","TypeIB"
"Cas1","GCF_003383065.1_ASM338306v1_genomic.fna","GCA_002898255.1_ASM289825v1_genomic.fna",1.030880703,"TypeIB","TypeIB"
"Cas1","GCF_001368915.1_PRJEB5949_assembly_1_genomic.fna","GCA_002898255.1_ASM289825v1_genomic.fna",1.029634705,"TypeIB","TypeIB"
"Cas1","GCF_014635105.1_ASM1463510v1_genomic.fna","GCA_002898255.1_ASM289825v1_genomic.fna",1.032168517,"TypeIB","TypeIB"
"Cas1","GCF_000223905.1_ASM22390v1_genomic.fna","GCA_002898255.1_ASM289825v1_genomic.fna",1.075383605,"TypeIB","TypeIB"
"Cas1","GCF_003697845.1_ASM369784v1_genomic.fna","GCA_002898255.1_ASM289825v1_genomic.fna",1.059024789,"TypeIB","TypeIB"
"Cas1","GCF_024494655.1_ASM2449465v1_genomic.fna","GCA_002898255.1_ASM289825v1_genomic.fna",1.072219848,"TypeIB","TypeIB"
