GCF_000005845.2_ASM584v2_genomic.fna	100.00	98.08	98.52	96.91	97.24	99.28	98.12	98.47	97.12	98.48	98.48	98.45	98.45	98.50	98.50	98.46	98.46	98.48	98.47	96.92	98.47	98.44	98.48	98.11	98.03	98.02	98.45	98.47	98.50	98.48	98.48	98.03	98.45	98.50	98.47	98.47	98.47	98.46	98.45	98.48	98.48	97.52	97.39	99.03	98.09	98.51	98.54	98.51	98.47	98.46
GCF_000008865.2_ASM886v2_genomic.fna	98.08	100.00	97.74	96.78	96.93	97.67	99.85	97.81	97.14	97.74	97.76	97.69	97.70	97.73	97.84	97.73	97.68	97.76	97.76	96.95	97.84	97.76	97.70	99.97	99.88	99.89	97.69	97.70	97.87	97.74	97.74	99.86	97.76	97.76	97.75	97.76	97.76	97.76	97.84	97.84	97.76	96.93	97.22	97.72	99.85	97.81	97.74	97.73	97.70	97.74
GCF_000010385.1_ASM1038v1_genomic.fna	98.52	97.74	100.00	96.48	97.34	98.36	97.74	98.92	97.08	98.97	98.97	98.97	98.86	98.97	98.81	98.97	98.97	98.97	98.97	96.92	98.86	98.92	98.97	97.74	97.74	97.80	98.97	98.82	99.03	98.97	98.97	97.74	98.92	98.97	98.97	98.92	98.97	98.92	98.92	98.97	98.97	97.26	97.21	98.27	97.67	98.91	98.97	98.90	98.97	98.97
GCF_000013265.1_ASM1326v1_genomic.fna	96.91	96.78	96.48	100.00	97.13	96.35	96.61	96.95	97.50	96.98	96.93	96.98	96.98	96.93	96.90	96.95	96.93	96.95	96.95	99.57	96.93	96.93	96.98	96.93	96.78	96.95	96.67	96.65	96.95	96.93	96.95	96.78	96.93	96.95	96.93	96.93	96.93	96.90	96.95	96.93	96.75	96.95	96.93	96.48	96.78	96.78	96.61	96.61	96.93	96.95
GCF_000019645.1_ASM1964v1_genomic.fna	97.24	96.93	97.34	97.13	100.00	97.13	96.92	96.97	97.50	97.00	96.98	97.13	96.96	96.96	96.95	96.96	96.97	96.96	96.96	97.38	96.95	96.95	96.96	96.93	96.95	97.07	96.97	96.98	96.97	96.96	96.94	96.94	96.95	96.98	97.02	97.02	96.98	97.01	96.98	96.95	96.98	97.50	97.70	97.16	96.93	97.13	97.13	97.00	96.95	97.00
GCF_000210475.1_ASM21047v1_genomic.fna	99.28	97.67	98.36	96.35	97.13	100.00	97.66	98.31	96.99	98.27	98.27	98.33	98.24	98.30	98.30	98.28	98.21	98.29	98.30	96.74	98.27	98.27	98.27	97.67	97.67	97.72	98.24	98.27	98.26	98.29	98.27	97.67	98.27	98.30	98.27	98.28	98.23	98.25	98.25	98.27	98.29	97.31	97.31	99.06	97.67	98.26	98.20	98.24	98.23	98.20
GCF_001612475.1_ASM161247v1_genomic.fna	98.12	99.85	97.74	96.61	96.92	97.66	100.00	97.67	97.00	97.57	97.69	97.57	97.59	97.76	97.76	97.74	97.58	97.59	97.57	96.78	97.70	97.71	97.59	99.83	99.95	99.91	97.76	97.76	97.73	97.71	97.59	99.90	97.57	97.75	97.69	97.59	97.69	97.73	97.76	97.70	97.70	96.88	96.89	97.70	99.85	97.67	97.76	97.72	97.59	97.73
GCF_001721125.1_ASM172112v1_genomic.fna	98.47	97.81	98.92	96.95	96.97	98.31	97.67	100.00	97.26	99.67	99.84	99.67	99.73	99.57	99.91	99.70	99.72	99.84	99.78	96.93	99.78	99.68	99.68	97.75	97.57	97.57	99.62	99.36	98.85	99.90	99.84	97.58	99.71	99.78	99.89	99.89	99.78	99.63	99.78	99.78	99.78	96.95	96.95	97.79	97.71	98.74	98.83	98.66	99.70	99.68
GCF_002853715.1_ASM285371v1_genomic.fna	97.12	97.14	97.08	97.50	97.50	96.99	97.00	97.26	100.00	97.27	97.27	97.26	97.13	97.14	97.28	97.27	97.27	97.26	97.26	97.67	97.29	97.29	97.27	97.14	97.14	97.28	97.12	97.16	96.97	97.26	97.26	97.16	97.13	97.28	97.28	97.31	97.27	97.28	97.27	97.27	97.13	97.68	97.73	97.16	96.99	96.98	97.27	97.14	97.13	97.13
GCF_003017915.1_ASM301791v1_genomic.fna	98.48	97.74	98.97	96.98	97.00	98.27	97.57	99.67	97.27	100.00	99.78	99.85	99.71	99.85	99.78	99.72	99.71	99.73	99.77	96.95	99.72	99.77	99.77	97.84	97.76	97.76	99.39	99.40	98.77	99.77	99.77	97.76	99.71	99.73	99.72	99.78	99.77	99.63	99.73	99.73	99.72	96.99	97.00	98.12	97.76	98.83	98.66	98.38	99.71	99.57
