"genome_name","n_crispr","n_cas","n_spacer","n_cas_protein","n_crispr_level4"
"GCA_001421185.1_ASM142118v1_genomic.fna",5,0,10,0,0
"GCA_001508815.1_ASM150881v1_genomic.fna",2,0,15,0,1
"GCA_001577555.1_ASM157755v1_genomic.fna",7,2,134,10,4
"GCA_002495485.1_ASM249548v1_genomic.fna",6,0,6,0,0
"GCA_002496945.1_ASM249694v1_genomic.fna",3,1,20,1,2
"GCA_002502965.1_ASM250296v1_genomic.fna",1,0,1,0,0
"GCA_002503395.1_ASM250339v1_genomic.fna",1,0,1,0,0
"GCA_002505075.1_ASM250507v1_genomic.fna",1,0,1,0,0
"GCA_002505245.1_ASM250524v1_genomic.fna",1,0,2,0,0
"GCA_002506165.1_ASM250616v1_genomic.fna",2,0,2,0,0
"GCA_002506905.1_ASM250690v1_genomic.fna",6,1,22,4,2
"GCA_002509645.1_ASM250964v1_genomic.fna",2,0,2,0,0
"GCA_002713185.1_ASM271318v1_genomic.fna",2,0,5,0,0
"GCA_002728275.1_ASM272827v1_genomic.fna",1,0,1,0,0
"GCA_002793475.1_ASM279347v1_genomic.fna",0,0,0,0,0
"GCA_003021115.1_ASM302111v1_genomic.fna",4,0,16,0,0
"GCA_003154225.1_20120700_E3M_genomic.fna",2,0,2,0,0
"GCA_003650815.1_ASM365081v1_genomic.fna",1,0,1,0,0
"GCA_003662835.1_ASM366283v1_genomic.fna",1,0,1,0,0
"GCA_003702485.1_ASM370248v1_genomic.fna",1,0,1,0,0
"GCA_004195445.1_ASM419544v1_genomic.fna",6,0,7,0,0
"GCA_005877475.1_ASM587747v1_genomic.fna",1,0,1,0,0
"GCA_007133925.1_ASM713392v1_genomic.fna",0,0,0,0,0
"GCA_007279895.1_ASM727989v1_genomic.fna",0,0,0,0,0
"GCA_011041875.1_ASM1104187v1_genomic.fna",5,0,7,0,0
"GCA_011041995.1_ASM1104199v1_genomic.fna",0,0,0,0,0
"GCA_011042515.1_ASM1104251v1_genomic.fna",0,0,0,0,0
"GCA_012960615.1_ASM1296061v1_genomic.fna",0,0,0,0,0
"GCA_013329865.1_ASM1332986v1_genomic.fna",2,0,2,0,0
"GCA_013329875.1_ASM1332987v1_genomic.fna",0,0,0,0,0
"GCA_013378385.1_ASM1337838v1_genomic.fna",0,0,0,0,0
"GCA_014240435.1_ASM1424043v1_genomic.fna",3,0,3,0,0
"GCA_014646795.1_ASM1464679v1_genomic.fna",4,0,151,0,4
"GCA_015063125.1_ASM1506312v1_genomic.fna",1,0,1,0,0
"GCA_015520345.1_ASM1552034v1_genomic.fna",1,0,1,0,0
"GCA_015661645.1_ASM1566164v1_genomic.fna",0,0,0,0,0
"GCA_016179995.1_ASM1617999v1_genomic.fna",1,0,1,0,0
"GCA_016192915.1_ASM1619291v1_genomic.fna",0,0,0,0,0
"GCA_016292335.1_ASM1629233v1_genomic.fna",7,0,17,0,0
"GCA_016782355.1_ASM1678235v1_genomic.fna",4,0,18,0,2
"GCA_016840925.1_ASM1684092v1_genomic.fna",5,0,10,0,0
"GCA_016866955.1_JGI_2017-08-21_genomic.fna",1,1,1,1,0
"GCA_016932245.1_ASM1693224v1_genomic.fna",1,0,1,0,0
"GCA_016935175.1_ASM1693517v1_genomic.fna",0,0,0,0,0
"GCA_017549625.1_ASM1754962v1_genomic.fna",5,0,5,0,0
"GCA_017601185.1_ASM1760118v1_genomic.fna",2,1,2,2,0
"GCA_017608645.1_ASM1760864v1_genomic.fna",0,0,0,0,0
"GCA_017610105.1_ASM1761010v1_genomic.fna",5,2,31,5,1
"GCA_018221135.1_ASM1822113v1_genomic.fna",0,0,0,0,0
"GCA_018221245.1_ASM1822124v1_genomic.fna",3,1,4,1,0
"GCA_018238585.1_ASM1823858v1_genomic.fna",3,1,5,1,0
"GCA_018263495.1_ASM1826349v1_genomic.fna",0,0,0,0,0
"GCA_018304025.1_ASM1830402v1_genomic.fna",10,1,10,1,0
"GCA_018396705.1_ASM1839670v1_genomic.fna",1,0,16,0,1
"GCA_018610085.1_ASM1861008v1_genomic.fna",9,1,9,1,0
"GCA_018696515.1_ASM1869651v1_genomic.fna",0,0,0,0,0
"GCA_018818465.1_ASM1881846v1_genomic.fna",0,0,0,0,0
"GCA_018920285.1_ASM1892028v1_genomic.fna",2,0,9,0,1
"GCA_019084285.1_ASM1908428v1_genomic.fna",7,0,10,0,0
"GCA_019594195.1_ASM1959419v1_genomic.fna",2,1,4,1,0
"GCA_019685555.1_ASM1968555v1_genomic.fna",1,3,3,12,0
"GCA_020052325.1_ASM2005232v1_genomic.fna",2,0,2,0,0
"GCA_021818475.1_ASM2181847v1_genomic.fna",7,0,10,0,0
"GCA_021821525.1_ASM2182152v1_genomic.fna",3,0,19,0,1
"GCA_021822815.1_ASM2182281v1_genomic.fna",2,0,29,0,1
"GCA_021823435.1_ASM2182343v1_genomic.fna",0,0,0,0,0
"GCA_021829785.1_ASM2182978v1_genomic.fna",0,0,0,0,0
"GCA_021852265.1_ASM2185226v1_genomic.fna",2,1,2,2,0
"GCA_022451345.1_ASM2245134v1_genomic.fna",1,0,2,0,0
"GCA_022729395.1_ASM2272939v1_genomic.fna",0,0,0,0,0
"GCA_022750075.1_ASM2275007v1_genomic.fna",1,0,1,0,0
"GCA_022750115.1_ASM2275011v1_genomic.fna",1,0,1,0,0
"GCA_022840705.1_ASM2284070v1_genomic.fna",2,0,2,0,0
"GCA_022848835.1_ASM2284883v1_genomic.fna",0,0,0,0,0
"GCA_023139555.1_ASM2313955v1_genomic.fna",4,2,6,2,0
"GCA_023252765.1_ASM2325276v1_genomic.fna",6,1,130,4,4
"GCA_023381055.1_ASM2338105v1_genomic.fna",0,0,0,0,0
"GCA_023489105.1_ASM2348910v1_genomic.fna",3,0,89,0,1
"GCA_024278985.1_ASM2427898v1_genomic.fna",9,1,151,1,8
"GCA_025923655.1_ASM2592365v1_genomic.fna",5,0,6,0,0
"GCA_025980305.1_ASM2598030v1_genomic.fna",2,0,2,0,0
"GCA_026552915.1_ASM2655291v1_genomic.fna",6,7,64,36,5
"GCA_026986375.1_ASM2698637v1_genomic.fna",5,1,23,1,3
"GCA_027003895.1_ASM2700389v1_genomic.fna",2,1,6,2,1
"GCA_027006545.1_ASM2700654v1_genomic.fna",0,0,0,0,0
"GCA_027074195.1_ASM2707419v1_genomic.fna",3,0,6,0,1
"GCA_027076105.1_ASM2707610v1_genomic.fna",2,2,9,2,1
"GCA_027084045.1_ASM2708404v1_genomic.fna",6,3,71,6,4
"GCA_027249345.1_ASM2724934v1_genomic.fna",0,0,0,0,0
"GCA_027309845.1_ASM2730984v1_genomic.fna",2,0,3,0,0
"GCA_027353665.1_ASM2735366v1_genomic.fna",0,0,0,0,0
"GCA_027363215.1_ASM2736321v1_genomic.fna",0,0,0,0,0
"GCA_027363285.1_ASM2736328v1_genomic.fna",0,0,0,0,0
"GCA_027363475.1_ASM2736347v1_genomic.fna",0,0,0,0,0
"GCA_027363515.1_ASM2736351v1_genomic.fna",0,0,0,0,0
"GCA_027363615.1_ASM2736361v1_genomic.fna",1,0,2,0,0
"GCA_027363825.1_ASM2736382v1_genomic.fna",0,0,0,0,0
"GCA_027369695.1_ASM2736969v1_genomic.fna",0,0,0,0,0
"GCA_027369985.1_ASM2736998v1_genomic.fna",0,0,0,0,0
"GCA_027370095.1_ASM2737009v1_genomic.fna",0,0,0,0,0
"GCA_027375595.1_ASM2737559v1_genomic.fna",2,0,2,0,0
"GCA_027376985.1_ASM2737698v1_genomic.fna",0,0,0,0,0
"GCA_027377815.1_ASM2737781v1_genomic.fna",0,0,0,0,0
"GCA_027377855.1_ASM2737785v1_genomic.fna",0,0,0,0,0
"GCA_027379725.1_ASM2737972v1_genomic.fna",4,2,6,3,0
"GCA_027380515.1_ASM2738051v1_genomic.fna",0,0,0,0,0
"GCA_027381935.1_ASM2738193v1_genomic.fna",2,1,23,4,2
"GCA_027382145.1_ASM2738214v1_genomic.fna",2,0,26,0,1
"GCA_027387135.1_ASM2738713v1_genomic.fna",0,0,0,0,0
"GCA_902158755.1_SYNGOMJ08_genomic.fna",1,0,1,0,0
"GCA_903914655.1_freshwater_MAG_---_AlinenSedimentsD0_bin-1585_genomic.fna",1,0,5,0,1
"GCA_937891145.1_ERR598993_bin.69_CONCOCT_v1.1_MAG_genomic.fna",0,0,0,0,0
"GCA_937917535.1_SRR1562000_bin.76_CONCOCT_v1.1_MAG_genomic.fna",2,1,32,3,1
"GCA_937920125.1_ERR2206759_bin.74_CONCOCT_v1.1_MAG_genomic.fna",5,1,5,1,0
"GCA_945872475.1_SRR17382097_bin.38_metaWRAP_v1.3_MAG_genomic.fna",0,0,0,0,0
"GCA_947486215.1_TE-Jun18-47_genomic.fna",1,0,2,0,0
"GCF_000025285.1_ASM2528v1_genomic.fna",0,0,0,0,0
"GCF_000189555.1_ASM18955v1_genomic.fna",7,3,213,24,2
"GCF_000632495.1_AciCop1.0_genomic.fna",7,1,335,1,5
"GCF_000730285.1_ASM73028v1_genomic.fna",2,1,101,6,1
"GCF_001560085.1_GG12_C01_10_genomic.fna",4,4,228,12,3
"GCF_002215305.1_ASM221530v1_genomic.fna",16,4,131,21,3
"GCF_002487355.1_ASM248735v1_genomic.fna",8,5,171,26,3
"GCF_003711245.1_ASM371124v1_genomic.fna",5,1,63,4,2
"GCF_004698125.1_ASM469812v1_genomic.fna",6,0,9,0,0
"GCF_005938085.1_ASM593808v1_genomic.fna",2,1,70,8,1
"GCF_008806915.1_ASM880691v1_genomic.fna",4,0,13,0,0
"GCF_012027515.1_ASM1202751v1_genomic.fna",5,1,111,9,4
"GCF_020804205.1_ASM2080420v1_genomic.fna",33,4,274,21,4
"GCF_024138145.1_ASM2413814v1_genomic.fna",5,0,10,0,0
"GCF_025231485.1_ASM2523148v1_genomic.fna",10,0,12,0,0
"GCF_900156425.1_IMG-taxon_2681812914_annotated_assembly_genomic.fna",5,0,5,0,0
"GCF_900650605.1_PRJEB30627_genomic.fna",6,1,7,1,0
"GCA_000220355.1_ASM22035v1_genomic.fna",0,0,0,0,0
"GCA_000349625.1_GATC_genomic.fna",0,0,0,0,0
"GCA_001919675.1_ASM191967v1_genomic.fna",0,0,0,0,0
"GCA_002067095.1_ASM206709v1_genomic.fna",2,0,2,0,0
"GCA_002496665.1_ASM249666v1_genomic.fna",0,0,0,0,0
"GCA_002498285.1_ASM249828v1_genomic.fna",0,0,0,0,0
"GCA_002498745.1_ASM249874v1_genomic.fna",5,6,58,21,3
"GCA_002502605.1_ASM250260v1_genomic.fna",0,0,0,0,0
"GCA_002503785.1_ASM250378v1_genomic.fna",1,3,29,8,1
"GCA_002506945.1_ASM250694v1_genomic.fna",0,0,0,0,0
"GCA_002508775.1_ASM250877v1_genomic.fna",9,3,188,3,5
"GCA_002730185.1_ASM273018v1_genomic.fna",0,0,0,0,0
"GCA_002762765.1_ASM276276v1_genomic.fna",2,0,2,0,0
"GCA_002781865.1_ASM278186v1_genomic.fna",0,0,0,0,0
"GCA_002871245.1_ASM287124v1_genomic.fna",0,0,0,0,0
"GCA_003022025.1_ASM302202v1_genomic.fna",2,0,2,0,0
"GCA_003135575.1_20111000_P3M_genomic.fna",1,0,1,0,0
"GCA_003141075.1_20120800_S1D_genomic.fna",1,0,1,0,0
"GCA_003202615.1_ASM320261v1_genomic.fna",0,0,0,0,0
"GCA_003246955.1_ASM324695v1_genomic.fna",0,0,0,0,0
"GCA_003298465.1_ASM329846v1_genomic.fna",9,0,10,0,0
"GCA_003324635.1_ASM332463v1_genomic.fna",2,0,2,0,0
"GCA_003344655.1_ASM334465v1_genomic.fna",3,0,4,0,0
"GCA_003649845.1_ASM364984v1_genomic.fna",1,0,2,0,0
"GCA_005878485.1_ASM587848v1_genomic.fna",1,0,1,0,0
"GCA_005878955.1_ASM587895v1_genomic.fna",3,1,3,1,0
