species	crispr_positive	crispr_negative	distance
Thermoplasmata archaeon	GCA_026414225.1_ASM2641422v1_genomic	GCA_027382235.1_ASM2738223v1_genomic	1.31786107
Thermoplasmata archaeon	GCA_027382155.1_ASM2738215v1_genomic	GCA_027382235.1_ASM2738223v1_genomic	1.1678927019999998
Thermoplasmata archaeon	GCA_021794375.1_ASM2179437v1_genomic	GCA_021820565.1_ASM2182056v1_genomic	0.59498166552
Thermoplasmata archaeon	GCA_021825725.1_ASM2182572v1_genomic	GCA_021826785.1_ASM2182678v1_genomic	1.08573901352
Thermoplasmata archaeon	GCA_021845325.1_ASM2184532v1_genomic	GCA_021826785.1_ASM2182678v1_genomic	1.2498734270399998
Thermoplasmata archaeon	GCA_021791585.1_ASM2179158v1_genomic	GCA_021826785.1_ASM2182678v1_genomic	1.05157751352
Thermoplasmata archaeon	GCA_011052435.1_ASM1105243v1_genomic	GCA_021158325.1_ASM2115832v1_genomic	1.25063137
Thermoplasmata archaeon	GCA_021158865.1_ASM2115886v1_genomic	GCA_021158325.1_ASM2115832v1_genomic	1.20445188352
Thermoplasmata archaeon	GCA_003650025.1_ASM365002v1_genomic	GCA_021158325.1_ASM2115832v1_genomic	1.6661021835199996
Thermoplasmatales archaeon	GCA_027368965.1_ASM2736896v1_genomic	GCA_027373815.1_ASM2737381v1_genomic	0.029701929999999998
Thermoplasmatales archaeon	GCA_027328585.1_ASM2732858v1_genomic	GCA_027366915.1_ASM2736691v1_genomic	0.49528924418
Thermoplasmatales archaeon	GCA_027316415.1_ASM2731641v1_genomic	GCA_027366915.1_ASM2736691v1_genomic	0.00246294344298
Thermoplasmatales archaeon	GCA_027336205.1_ASM2733620v1_genomic	GCA_027366915.1_ASM2736691v1_genomic	0.55640693066
Thermoplasmatales archaeon	GCA_027316485.1_ASM2731648v1_genomic	GCA_027366915.1_ASM2736691v1_genomic	0.0024628729
Thermoplasmatales archaeon	GCA_027312945.1_ASM2731294v1_genomic	GCA_027366915.1_ASM2736691v1_genomic	0.8427968556600001
Thermoplasmatales archaeon	GCA_027336005.1_ASM2733600v1_genomic	GCA_027366915.1_ASM2736691v1_genomic	0.41920471066
Thermoplasmatales archaeon	GCA_027366895.1_ASM2736689v1_genomic	GCA_027366915.1_ASM2736691v1_genomic	0.0028893347999999998
Thermoplasmatales archaeon	GCA_027316505.1_ASM2731650v1_genomic	GCA_027366915.1_ASM2736691v1_genomic	0.00197542024298
Thermoplasmatales archaeon	GCA_027314245.1_ASM2731424v1_genomic	GCA_027381015.1_ASM2738101v1_genomic	0.9695438900000001
Desulfurococcales archaeon	GCA_026998705.1_ASM2699870v1_genomic	GCA_023256055.1_ASM2325605v1_genomic	0.735629958
Desulfurococcales archaeon	GCA_015520735.1_ASM1552073v1_genomic	GCA_027030065.1_ASM2703006v1_genomic	0.9870925135199999
Desulfurococcales archaeon	GCA_027014105.1_ASM2701410v1_genomic	GCA_027030065.1_ASM2703006v1_genomic	0.9785176999999999
Desulfurococcales archaeon	GCA_027081755.1_ASM2708175v1_genomic	GCA_027030065.1_ASM2703006v1_genomic	1.1779564
Desulfurococcales archaeon	GCA_015521075.1_ASM1552107v1_genomic	GCA_027034495.1_ASM2703449v1_genomic	1.17226184
Desulfurococcales archaeon	GCA_027077085.1_ASM2707708v1_genomic	GCA_027034495.1_ASM2703449v1_genomic	0.1955131351
Desulfurococcales archaeon	GCA_027002995.1_ASM2700299v1_genomic	GCA_027012085.1_ASM2701208v1_genomic	0.01885745
Desulfurococcales archaeon	GCA_027034615.1_ASM2703461v1_genomic	GCA_027012085.1_ASM2701208v1_genomic	0.02181816
Desulfurococcales archaeon	GCA_015521325.1_ASM1552132v1_genomic	GCA_027012085.1_ASM2701208v1_genomic	0.7728283515200001
Desulfurococcales archaeon	GCA_027052655.1_ASM2705265v1_genomic	GCA_027012085.1_ASM2701208v1_genomic	0.7721919304
Thermococcus sp.	GCA_026991495.1_ASM2699149v1_genomic	GCA_027011735.1_ASM2701173v1_genomic	0.18484413
Thermococcus sp.	GCA_026983155.1_ASM2698315v1_genomic	GCA_027049955.1_ASM2704995v1_genomic	0.06702334
Thermococcus sp.	GCA_014361105.1_ASM1436110v1_genomic	GCA_027049955.1_ASM2704995v1_genomic	0.35874174
Thermococcus sp.	GCA_027024105.1_ASM2702410v1_genomic	GCA_027027805.1_ASM2702780v1_genomic	0.02179175
Thermococcus sp.	GCA_026988555.1_ASM2698855v1_genomic	GCA_027062125.1_ASM2706212v1_genomic	0.127174712
Thermococcus sp.	GCA_027012695.1_ASM2701269v1_genomic	GCA_027062125.1_ASM2706212v1_genomic	0.081669662
Thermococcus sp.	GCA_027023865.1_ASM2702386v1_genomic	GCA_027062125.1_ASM2706212v1_genomic	0.096082842
Thermococcus sp.	GCA_027003895.1_ASM2700389v1_genomic	GCA_027062125.1_ASM2706212v1_genomic	0.083357562
Thermococcus sp.	GCA_015521605.1_ASM1552160v1_genomic	GCA_027062125.1_ASM2706212v1_genomic	0.11004553351999999
Thermococcus sp.	GCA_027068575.1_ASM2706857v1_genomic	GCA_027068495.1_ASM2706849v1_genomic	0.002415867
Candidatus Bathyarchaeota archaeon	GCA_026014665.1_ASM2601466v1_genomic	GCA_026014745.1_ASM2601474v1_genomic	0.1824229
Candidatus Bathyarchaeota archaeon	GCA_022866405.1_ASM2286640v1_genomic	GCA_026014905.1_ASM2601490v1_genomic	0.5612223700000001
