species	crispr_positive	crispr_negative	distance
Salmonella enterica	GCA_010497885.1_PDT000043349.5_genomic	GCF_001587765.1_CFSAN033935_01.0_genomic	8.1036752e-4
Salmonella enterica	GCA_019874285.1_PDT001122779.1_genomic	GCF_001587765.1_CFSAN033935_01.0_genomic	0.00100662352
Salmonella enterica	GCA_016353445.1_PDT000309013.2_genomic	GCF_001587765.1_CFSAN033935_01.0_genomic	0.00161099858
Salmonella enterica	GCA_008486445.1_PDT000221192.2_genomic	GCF_001587765.1_CFSAN033935_01.0_genomic	0.00100966352
Salmonella enterica	GCA_010373565.1_PDT000053834.2_genomic	GCF_001587765.1_CFSAN033935_01.0_genomic	9.4617628e-4
Salmonella enterica	GCA_010566945.1_PDT000288300.2_genomic	GCF_001587765.1_CFSAN033935_01.0_genomic	0.00175376676
Salmonella enterica	GCA_009576365.1_PDT000266751.2_genomic	GCF_001587765.1_CFSAN033935_01.0_genomic	0.00161099858
Salmonella enterica	GCA_917164325.1_FD01875498_genomic	GCF_001587765.1_CFSAN033935_01.0_genomic	0.00228351352
Salmonella enterica	GCA_023333025.1_PDT001304446.1_genomic	GCF_001587765.1_CFSAN033935_01.0_genomic	0.0026000082799999998
Salmonella enterica	GCA_003734065.1_PDT000396382.1_genomic	GCF_001587765.1_CFSAN033935_01.0_genomic	9.4617628e-4
Salmonella enterica	GCA_009227805.1_PDT000610498.1_genomic	GCF_001587765.1_CFSAN033935_01.0_genomic	9.9479268e-4
Salmonella enterica	GCA_005856005.1_PDT000491766.1_genomic	GCF_001587765.1_CFSAN033935_01.0_genomic	0.0022773399699999998
Salmonella enterica	GCA_009558255.1_PDT000250511.2_genomic	GCF_001587765.1_CFSAN033935_01.0_genomic	0.0011766748999999998
Salmonella enterica	GCA_014174835.1_PDT000807651.2_genomic	GCF_001587765.1_CFSAN033935_01.0_genomic	0.00161099858
Salmonella enterica	GCA_020699235.1_PDT001164607.1_genomic	GCF_001587765.1_CFSAN033935_01.0_genomic	6.0652552e-4
Salmonella enterica	GCA_003772185.1_PDT000400053.1_genomic	GCF_001587765.1_CFSAN033935_01.0_genomic	0.00123377767
Salmonella enterica	GCA_026933155.1_PDT001528763.1_genomic	GCF_001587765.1_CFSAN033935_01.0_genomic	0.00186356337
Salmonella enterica	GCA_007104325.1_PDT000272521.2_genomic	GCF_001587765.1_CFSAN033935_01.0_genomic	0.00228813846
Salmonella enterica	GCA_023841485.1_ASM2384148v1_genomic	GCF_001587765.1_CFSAN033935_01.0_genomic	2.0559252e-4
Salmonella enterica	GCA_027226945.1_PDT001542913.1_genomic	GCF_001587765.1_CFSAN033935_01.0_genomic	0.0015816733599999999
Salmonella enterica	GCA_008162485.1_PDT000569356.1_genomic	GCF_001587765.1_CFSAN033935_01.0_genomic	2.0808252000000001e-4
Salmonella enterica	GCA_010744755.1_PDT000653542.1_genomic	GCF_001587765.1_CFSAN033935_01.0_genomic	2.0627852000000002e-4
Salmonella enterica	GCA_004165235.1_PDT000325833.1_genomic	GCF_001587765.1_CFSAN033935_01.0_genomic	0.0015930313
Salmonella enterica	GCA_024339905.1_PDT001364510.1_genomic	GCF_001587765.1_CFSAN033935_01.0_genomic	0.00161099858
Salmonella enterica	GCA_007429965.1_PDT000468347.1_genomic	GCF_001587765.1_CFSAN033935_01.0_genomic	5.8074998e-4
Salmonella enterica	GCA_009516345.1_PDT000251080.2_genomic	GCF_001587765.1_CFSAN033935_01.0_genomic	7.852910799999999e-4
Salmonella enterica	GCA_025742095.1_PDT001455736.1_genomic	GCF_001587765.1_CFSAN033935_01.0_genomic	6.0668888e-4
Salmonella enterica	GCA_025864395.1_PDT001467694.1_genomic	GCF_001587765.1_CFSAN033935_01.0_genomic	0.00123374742511
Salmonella enterica	GCA_005479215.1_PDT000432213.1_genomic	GCF_001587765.1_CFSAN033935_01.0_genomic	5.608727799999999e-4
Salmonella enterica	GCA_027471065.1_PDT001549358.1_genomic	GCA_007550615.1_PDT000253965.2_genomic	0.005582708519999999
Escherichia coli	GCA_003794065.1_PDT000395173.1_genomic	GCF_000777495.1_ASM77749v1_genomic	0.001478072054208
Escherichia coli	GCA_012862275.1_PDT000713843.1_genomic	GCF_000777495.1_ASM77749v1_genomic	0.001303748384908
Escherichia coli	GCF_005390805.1_ASM539080v1_genomic	GCF_000777495.1_ASM77749v1_genomic	0.001668038576
Escherichia coli	GCA_017777235.1_PDT000979542.1_genomic	GCF_000777495.1_ASM77749v1_genomic	0.0014718491673079998
Escherichia coli	GCA_021914255.1_ASM2191425v1_genomic	GCF_000777495.1_ASM77749v1_genomic	0.001472166524176
Escherichia coli	GCA_020146515.1_ASM2014651v1_genomic	GCF_000777495.1_ASM77749v1_genomic	0.001264972415208
Escherichia coli	GCF_900042795.1_F1L3_genomic	GCF_000777495.1_ASM77749v1_genomic	0.001483594778385
Escherichia coli	GCA_023674985.1_PDT001323699.1_genomic	GCF_000777495.1_ASM77749v1_genomic	0.0014620452091449999
Escherichia coli	GCA_025976505.1_PDT001474725.1_genomic	GCF_000777495.1_ASM77749v1_genomic	0.001461993088745
Escherichia coli	GCA_011909965.1_PDT000546438.2_genomic	GCF_000777495.1_ASM77749v1_genomic	0.001048314568385
Escherichia coli	GCA_012036805.1_ASM1203680v1_genomic	GCF_000777495.1_ASM77749v1_genomic	0.0018740959
Escherichia coli	GCA_019159135.1_PDT001083093.1_genomic	GCF_000777495.1_ASM77749v1_genomic	0.001264972415208
Escherichia coli	GCA_907166425.1_F1T1-WGS66_genomic	GCF_000777495.1_ASM77749v1_genomic	0.001883737928385
Escherichia coli	GCA_025289475.1_PDT001421120.1_genomic	GCF_000777495.1_ASM77749v1_genomic	0.001462267584185
Escherichia coli	GCA_012319465.1_PDT000482180.1_genomic	GCF_000777495.1_ASM77749v1_genomic	0.001264972415208
Escherichia coli	GCA_014737275.1_PDT000844062.1_genomic	GCF_000777495.1_ASM77749v1_genomic	0.001316084
Escherichia coli	GCA_024859185.1_PDT001398415.1_genomic	GCF_000777495.1_ASM77749v1_genomic	0.001668129226485
Escherichia coli	GCA_011830735.1_PDT000627273.2_genomic	GCF_000777495.1_ASM77749v1_genomic	0.001048180348745
Escherichia coli	GCF_008933225.1_ASM893322v1_genomic	GCF_000777495.1_ASM77749v1_genomic	0.001048269391845
Escherichia coli	GCA_023881825.1_ASM2388182v1_genomic	GCF_000777495.1_ASM77749v1_genomic	0.0010080462
Escherichia coli	GCA_903976155.1_R1B2G2_genomic	GCF_000777495.1_ASM77749v1_genomic	0.002603914384908
Escherichia coli	GCA_019787355.1_PDT001117336.1_genomic	GCF_000777495.1_ASM77749v1_genomic	0.0016680089669010001
Escherichia coli	GCA_025527075.1_PDT001439145.1_genomic	GCF_000777495.1_ASM77749v1_genomic	0.0012650455849079999
Escherichia coli	GCA_012565425.1_PDT000156959.3_genomic	GCF_000777495.1_ASM77749v1_genomic	0.0016680089669010001
Escherichia coli	GCA_021150525.1_PDT001201146.1_genomic	GCF_000777495.1_ASM77749v1_genomic	0.001048286624845
Escherichia coli	GCF_014155295.1_ASM1415529v1_genomic	GCF_000777495.1_ASM77749v1_genomic	0.001471635654755
Escherichia coli	GCA_026776925.1_PDT001519479.1_genomic	GCF_000777495.1_ASM77749v1_genomic	0.001461993088745
Escherichia coli	GCA_016387095.1_ASM1638709v1_genomic	GCF_000777495.1_ASM77749v1_genomic	0.001052083008185
Escherichia coli	GCA_018159875.1_PDT001013445.1_genomic	GCA_000777925.1_ASM77792v1_genomic	6.92426e-4
Escherichia coli	GCA_021858905.1_PDT001236286.1_genomic	GCA_000777925.1_ASM77792v1_genomic	8.92288e-4
Klebsiella pneumoniae	GCF_023160965.1_ASM2316096v1_genomic	GCA_022033915.1_PDT000901748.1_genomic	4.1662952e-4
Klebsiella pneumoniae	GCA_022067265.1_PDT000875854.1_genomic	GCA_022033915.1_PDT000901748.1_genomic	0
Klebsiella pneumoniae	GCA_023355145.1_ASM2335514v1_genomic	GCA_022033915.1_PDT000901748.1_genomic	2.0867152000000002e-4
Klebsiella pneumoniae	GCA_022036945.1_PDT000898013.1_genomic	GCA_022033915.1_PDT000901748.1_genomic	0
Klebsiella pneumoniae	GCF_900503065.1_18858_1_13_genomic	GCA_022033915.1_PDT000901748.1_genomic	0
