"env","genome_name","n_crispr","n_cas","n_spacer","n_cas_protein","n_crispr_level4"
"oral","MGYG000298000",3,0,10,0,1
"oral","MGYG000298001",7,0,11,0,1
"oral","MGYG000298002",2,1,17,1,1
"oral","MGYG000298003",5,0,6,0,0
"oral","MGYG000298004",0,0,0,0,0
"oral","MGYG000298005",1,0,1,0,0
"oral","MGYG000298006",1,0,1,0,0
"oral","MGYG000298007",3,0,5,0,0
"oral","MGYG000298008",1,0,1,0,0
"oral","MGYG000298009",6,4,13,9,0
"oral","MGYG000298010",2,2,20,8,1
"oral","MGYG000298011",4,2,56,17,1
"oral","MGYG000298013",1,0,1,0,0
"oral","MGYG000298014",0,0,0,0,0
"oral","MGYG000298015",0,0,0,0,0
"oral","MGYG000298016",4,2,27,10,2
"oral","MGYG000298017",6,3,10,6,0
"oral","MGYG000298018",1,0,1,0,0
"oral","MGYG000298019",2,0,2,0,0
"oral","MGYG000298020",6,0,8,0,0
"oral","MGYG000298021",4,0,4,0,0
"oral","MGYG000298022",11,0,21,0,1
"oral","MGYG000298023",8,5,78,18,4
"oral","MGYG000298024",4,1,4,2,0
"oral","MGYG000298025",4,1,31,7,2
"oral","MGYG000298026",9,2,81,4,2
"oral","MGYG000298027",0,0,0,0,0
"oral","MGYG000298028",1,0,8,0,1
"oral","MGYG000298029",2,0,2,0,0
"oral","MGYG000298030",3,0,3,0,0
"oral","MGYG000298031",12,0,12,0,0
"oral","MGYG000298032",2,0,2,0,0
"oral","MGYG000298033",2,0,2,0,0
"oral","MGYG000298034",8,0,8,0,0
"oral","MGYG000298035",5,2,14,5,1
"oral","MGYG000298036",1,0,1,0,0
"oral","MGYG000298037",13,4,79,6,4
"oral","MGYG000298038",4,2,80,10,4
"oral","MGYG000298039",5,3,29,11,1
"oral","MGYG000298040",1,2,40,7,1
"oral","MGYG000298041",1,0,1,0,0
"oral","MGYG000298042",6,0,8,0,0
"oral","MGYG000298043",1,0,1,0,0
"oral","MGYG000298044",1,0,1,0,0
"oral","MGYG000298045",0,0,0,0,0
"oral","MGYG000298046",6,2,16,5,1
"oral","MGYG000298047",8,4,13,9,0
"oral","MGYG000298048",17,4,49,12,2
"oral","MGYG000298049",7,1,18,4,2
"oral","MGYG000298050",40,0,43,0,0
"oral","MGYG000298051",13,0,13,0,0
"oral","MGYG000298052",1,1,1,2,0
"oral","MGYG000298053",29,4,56,18,1
"oral","MGYG000298054",2,4,37,14,2
"oral","MGYG000298055",3,0,5,0,0
"oral","MGYG000298056",2,0,2,0,0
"oral","MGYG000298057",2,3,48,21,1
"oral","MGYG000298058",6,0,6,0,0
"oral","MGYG000298059",4,2,7,5,1
"oral","MGYG000298060",1,0,1,0,0
"oral","MGYG000298061",12,0,12,0,0
"oral","MGYG000298062",21,1,30,1,0
"oral","MGYG000298063",1,0,19,0,1
"oral","MGYG000298065",1,0,1,0,0
"oral","MGYG000298066",1,2,1,3,0
"oral","MGYG000298067",6,1,21,2,1
"oral","MGYG000298068",3,2,8,5,1
"oral","MGYG000298069",9,5,122,26,5
"oral","MGYG000298070",12,4,58,11,4
"oral","MGYG000298071",5,0,9,0,0
"oral","MGYG000298072",2,1,2,2,0
"oral","MGYG000298073",4,2,22,13,1
"oral","MGYG000298074",0,0,0,0,0
"oral","MGYG000298075",0,0,0,0,0
"oral","MGYG000298076",21,5,85,17,2
"oral","MGYG000298077",3,2,25,5,1
"oral","MGYG000298078",0,0,0,0,0
"oral","MGYG000298079",6,5,28,12,2
"oral","MGYG000298080",0,0,0,0,0
"oral","MGYG000298081",0,0,0,0,0
"oral","MGYG000298082",0,0,0,0,0
"oral","MGYG000298083",12,4,18,10,1
"oral","MGYG000298084",13,4,14,9,0
"oral","MGYG000298085",1,3,14,8,1
