"env","genome","seqid","Cas_id","type","subtype"
"oral","MGYG000298002","MGYG000298002_1","MGYG000298002_1@CAS:1","TypeIII","TypeIIIB"
"oral","MGYG000298009","MGYG000298009_55","MGYG000298009_55@CAS:1","CAS","CAS"
"oral","MGYG000298009","MGYG000298009_55","MGYG000298009_55@CAS:2","TypeIII","TypeIIIB"
"oral","MGYG000298009","MGYG000298009_55","MGYG000298009_55@CAS:3","TypeIII","TypeIIIA"
"oral","MGYG000298009","MGYG000298009_119","MGYG000298009_119@CAS:1","TypeII","TypeIIU"
"oral","MGYG000298010","MGYG000298010_1","MGYG000298010_1@CAS:1","CAS","CAS"
"oral","MGYG000298010","MGYG000298010_1","MGYG000298010_1@CAS:2","TypeIII","TypeIIIA"
"oral","MGYG000298011","MGYG000298011_1","MGYG000298011_1@CAS:1","CAS","CAS"
"oral","MGYG000298011","MGYG000298011_1","MGYG000298011_1@CAS:2","TypeII","TypeIIU"
"oral","MGYG000298016","MGYG000298016_3","MGYG000298016_3@CAS:1","CAS","CAS"
"oral","MGYG000298016","MGYG000298016_3","MGYG000298016_3@CAS:2","TypeI","TypeIC"
"oral","MGYG000298017","MGYG000298017_43","MGYG000298017_43@CAS:1","CAS","CAS"
"oral","MGYG000298017","MGYG000298017_43","MGYG000298017_43@CAS:2","TypeII","TypeIIU"
"oral","MGYG000298017","MGYG000298017_80","MGYG000298017_80@CAS:1","CAS","CAS"
"oral","MGYG000298023","MGYG000298023_47","MGYG000298023_47@CAS:1","CAS","CAS"
"oral","MGYG000298023","MGYG000298023_47","MGYG000298023_47@CAS:2","TypeIII","TypeIIIA"
"oral","MGYG000298023","MGYG000298023_125","MGYG000298023_125@CAS:1","CAS","CAS"
"oral","MGYG000298023","MGYG000298023_125","MGYG000298023_125@CAS:2","TypeI","TypeIB"
"oral","MGYG000298023","MGYG000298023_136","MGYG000298023_136@CAS:1","CAS","CAS"
"oral","MGYG000298024","MGYG000298024_1","MGYG000298024_1@CAS:1","CAS","CAS"
"oral","MGYG000298025","MGYG000298025_31","MGYG000298025_31@CAS:1","TypeI","TypeIE"
"oral","MGYG000298026","MGYG000298026_50","MGYG000298026_50@CAS:1","CAS","CAS"
"oral","MGYG000298026","MGYG000298026_50","MGYG000298026_50@CAS:2","TypeIII","TypeIIIA"
"oral","MGYG000298035","MGYG000298035_80","MGYG000298035_80@CAS:1","CAS","CAS"
"oral","MGYG000298035","MGYG000298035_80","MGYG000298035_80@CAS:2","TypeII","TypeIIU"
"oral","MGYG000298037","MGYG000298037_3","MGYG000298037_3@CAS:1","CAS","CAS"
"oral","MGYG000298037","MGYG000298037_14","MGYG000298037_14@CAS:1","TypeI","TypeID"
"oral","MGYG000298037","MGYG000298037_61","MGYG000298037_61@CAS:1","CAS","CAS"
"oral","MGYG000298037","MGYG000298037_61","MGYG000298037_61@CAS:2","TypeII","TypeIIU"
"oral","MGYG000298038","MGYG000298038_1","MGYG000298038_1@CAS:1","CAS","CAS"
"oral","MGYG000298038","MGYG000298038_1","MGYG000298038_1@CAS:2","TypeI","TypeIB"
"oral","MGYG000298039","MGYG000298039_165","MGYG000298039_165@CAS:1","CAS","CAS"
"oral","MGYG000298039","MGYG000298039_165","MGYG000298039_165@CAS:2","TypeI","TypeIB"
"oral","MGYG000298039","MGYG000298039_165","MGYG000298039_165@CAS:3","TypeIII","TypeIIIA"
"oral","MGYG000298040","MGYG000298040_2","MGYG000298040_2@CAS:1","CAS","CAS"
"oral","MGYG000298040","MGYG000298040_2","MGYG000298040_2@CAS:2","TypeI","TypeIB"
"oral","MGYG000298046","MGYG000298046_76","MGYG000298046_76@CAS:1","CAS","CAS"
"oral","MGYG000298046","MGYG000298046_76","MGYG000298046_76@CAS:2","TypeII","TypeIIU"
"oral","MGYG000298047","MGYG000298047_7","MGYG000298047_7@CAS:1","TypeI","TypeIU"
"oral","MGYG000298047","MGYG000298047_7","MGYG000298047_7@CAS:2","CAS","CAS"
"oral","MGYG000298047","MGYG000298047_7","MGYG000298047_7@CAS:3","TypeI","TypeID"
"oral","MGYG000298047","MGYG000298047_11","MGYG000298047_11@CAS:1","CAS","CAS"
"oral","MGYG000298048","MGYG000298048_1","MGYG000298048_1@CAS:1","CAS","CAS"
"oral","MGYG000298048","MGYG000298048_1","MGYG000298048_1@CAS:2","TypeIII","TypeIIIU"
"oral","MGYG000298048","MGYG000298048_1","MGYG000298048_1@CAS:3","TypeIII","TypeIIIB"
"oral","MGYG000298048","MGYG000298048_1","MGYG000298048_1@CAS:4","TypeIII","TypeIIIA"
"oral","MGYG000298049","MGYG000298049_102","MGYG000298049_102@CAS:1","TypeI","TypeIE"
"oral","MGYG000298052","MGYG000298052_1","MGYG000298052_1@CAS:1","CAS","CAS"
"oral","MGYG000298053","MGYG000298053_3","MGYG000298053_3@CAS:1","CAS","CAS"
"oral","MGYG000298053","MGYG000298053_26","MGYG000298053_26@CAS:1","CAS","CAS"
"oral","MGYG000298053","MGYG000298053_53","MGYG000298053_53@CAS:1","TypeI","TypeIE"
"oral","MGYG000298053","MGYG000298053_53","MGYG000298053_53@CAS:2","CAS","CAS"
"oral","MGYG000298054","MGYG000298054_6","MGYG000298054_6@CAS:1","CAS","CAS"
"oral","MGYG000298054","MGYG000298054_6","MGYG000298054_6@CAS:2","TypeIII","TypeIIIU"
"oral","MGYG000298054","MGYG000298054_56","MGYG000298054_56@CAS:1","CAS","CAS"
"oral","MGYG000298054","MGYG000298054_56","MGYG000298054_56@CAS:2","TypeI","TypeIC"
"oral","MGYG000298057","MGYG000298057_2","MGYG000298057_2@CAS:1","CAS","CAS"
"oral","MGYG000298057","MGYG000298057_2","MGYG000298057_2@CAS:2","TypeI","TypeIC"
"oral","MGYG000298057","MGYG000298057_2","MGYG000298057_2@CAS:3","TypeII","TypeIIU"
"oral","MGYG000298059","MGYG000298059_82","MGYG000298059_82@CAS:1","CAS","CAS"
"oral","MGYG000298059","MGYG000298059_82","MGYG000298059_82@CAS:2","TypeII","TypeIIU"
"oral","MGYG000298062","MGYG000298062_1","MGYG000298062_1@CAS:1","CAS","CAS"
"oral","MGYG000298066","MGYG000298066_1","MGYG000298066_1@CAS:1","CAS","CAS"
"oral","MGYG000298066","MGYG000298066_1","MGYG000298066_1@CAS:2","TypeI","TypeID"
"oral","MGYG000298067","MGYG000298067_50","MGYG000298067_50@CAS:1","CAS","CAS"
"oral","MGYG000298068","MGYG000298068_7","MGYG000298068_7@CAS:1","CAS","CAS"
"oral","MGYG000298068","MGYG000298068_7","MGYG000298068_7@CAS:2","TypeII","TypeIIU"
"oral","MGYG000298069","MGYG000298069_32","MGYG000298069_32@CAS:1","CAS","CAS"
"oral","MGYG000298069","MGYG000298069_54","MGYG000298069_54@CAS:1","CAS","CAS"
"oral","MGYG000298069","MGYG000298069_54","MGYG000298069_54@CAS:2","TypeIII","TypeIIIA"
"oral","MGYG000298069","MGYG000298069_62","MGYG000298069_62@CAS:1","CAS","CAS"
"oral","MGYG000298069","MGYG000298069_62","MGYG000298069_62@CAS:2","TypeI","TypeIC"
"oral","MGYG000298070","MGYG000298070_11","MGYG000298070_11@CAS:1","TypeI","TypeIU"
"oral","MGYG000298070","MGYG000298070_11","MGYG000298070_11@CAS:2","CAS","CAS"
"oral","MGYG000298070","MGYG000298070_11","MGYG000298070_11@CAS:3","TypeI","TypeID"
"oral","MGYG000298070","MGYG000298070_65","MGYG000298070_65@CAS:1","CAS","CAS"
"oral","MGYG000298072","MGYG000298072_1","MGYG000298072_1@CAS:1","CAS","CAS"
"oral","MGYG000298073","MGYG000298073_1","MGYG000298073_1@CAS:1","CAS","CAS"
"oral","MGYG000298073","MGYG000298073_1","MGYG000298073_1@CAS:2","TypeII","TypeIIU"
"oral","MGYG000298076","MGYG000298076_4","MGYG000298076_4@CAS:1","CAS","CAS"
"oral","MGYG000298076","MGYG000298076_4","MGYG000298076_4@CAS:2","TypeIII","TypeIIIU"
"oral","MGYG000298076","MGYG000298076_4","MGYG000298076_4@CAS:3","TypeIII","TypeIIIA"
"oral","MGYG000298076","MGYG000298076_42","MGYG000298076_42@CAS:1","CAS","CAS"
"oral","MGYG000298076","MGYG000298076_42","MGYG000298076_42@CAS:2","TypeI","TypeIB"
"oral","MGYG000298077","MGYG000298077_11","MGYG000298077_11@CAS:1","CAS","CAS"
"oral","MGYG000298077","MGYG000298077_11","MGYG000298077_11@CAS:2","TypeII","TypeIIU"
"oral","MGYG000298079","MGYG000298079_34","MGYG000298079_34@CAS:1","TypeII","TypeIIA"
"oral","MGYG000298079","MGYG000298079_34","MGYG000298079_34@CAS:2","CAS","CAS"
"oral","MGYG000298079","MGYG000298079_34","MGYG000298079_34@CAS:3","TypeII","TypeIIU"
"oral","MGYG000298079","MGYG000298079_80","MGYG000298079_80@CAS:1","CAS","CAS"
"oral","MGYG000298079","MGYG000298079_80","MGYG000298079_80@CAS:2","TypeI","TypeIB"
"oral","MGYG000298083","MGYG000298083_12","MGYG000298083_12@CAS:1","CAS","CAS"
"oral","MGYG000298083","MGYG000298083_12","MGYG000298083_12@CAS:2","TypeIII","TypeIIIA"
