genome	taxid	species	kingdom	crispr_strict	gram
GCA_027382235.1_ASM2738223v1_genomic.fna	1906666	Thermoplasmata archaeon	Archaea	crispr_negative	Gram-negative
GCA_027377235.1_ASM2737723v1_genomic.fna	1906666	Thermoplasmata archaeon	Archaea	crispr_negative	Gram-negative
GCA_027378185.1_ASM2737818v1_genomic.fna	1906666	Thermoplasmata archaeon	Archaea	crispr_negative	Gram-negative
GCA_021820565.1_ASM2182056v1_genomic.fna	1906666	Thermoplasmata archaeon	Archaea	crispr_negative	Gram-negative
GCA_021826785.1_ASM2182678v1_genomic.fna	1906666	Thermoplasmata archaeon	Archaea	crispr_negative	Gram-negative
GCA_027377795.1_ASM2737779v1_genomic.fna	1906666	Thermoplasmata archaeon	Archaea	crispr_negative	Gram-negative
GCA_027314305.1_ASM2731430v1_genomic.fna	1906666	Thermoplasmata archaeon	Archaea	crispr_negative	Gram-negative
GCA_027377625.1_ASM2737762v1_genomic.fna	1906666	Thermoplasmata archaeon	Archaea	crispr_negative	Gram-negative
GCA_021796175.1_ASM2179617v1_genomic.fna	1906666	Thermoplasmata archaeon	Archaea	crispr_negative	Gram-negative
GCA_021158325.1_ASM2115832v1_genomic.fna	1906666	Thermoplasmata archaeon	Archaea	crispr_negative	Gram-negative
GCA_021825725.1_ASM2182572v1_genomic.fna	1906666	Thermoplasmata archaeon	Archaea	crispr_positive	Gram-negative
GCA_011052435.1_ASM1105243v1_genomic.fna	1906666	Thermoplasmata archaeon	Archaea	crispr_positive	Gram-negative
GCA_021158865.1_ASM2115886v1_genomic.fna	1906666	Thermoplasmata archaeon	Archaea	crispr_positive	Gram-negative
GCA_003650025.1_ASM365002v1_genomic.fna	1906666	Thermoplasmata archaeon	Archaea	crispr_positive	Gram-negative
GCA_021832065.1_ASM2183206v1_genomic.fna	1906666	Thermoplasmata archaeon	Archaea	crispr_positive	Gram-negative
GCA_026414225.1_ASM2641422v1_genomic.fna	1906666	Thermoplasmata archaeon	Archaea	crispr_positive	Gram-negative
GCA_021845325.1_ASM2184532v1_genomic.fna	1906666	Thermoplasmata archaeon	Archaea	crispr_positive	Gram-negative
GCA_027382155.1_ASM2738215v1_genomic.fna	1906666	Thermoplasmata archaeon	Archaea	crispr_positive	Gram-negative
GCA_021794375.1_ASM2179437v1_genomic.fna	1906666	Thermoplasmata archaeon	Archaea	crispr_positive	Gram-negative
GCA_021791585.1_ASM2179158v1_genomic.fna	1906666	Thermoplasmata archaeon	Archaea	crispr_positive	Gram-negative
GCA_027373015.1_ASM2737301v1_genomic.fna	2268204	Thermoplasmatales archaeon	Archaea	crispr_negative	Gram-negative
GCA_027366795.1_ASM2736679v1_genomic.fna	2268204	Thermoplasmatales archaeon	Archaea	crispr_negative	Gram-negative
GCA_027373815.1_ASM2737381v1_genomic.fna	2268204	Thermoplasmatales archaeon	Archaea	crispr_negative	Gram-negative
GCA_027367755.1_ASM2736775v1_genomic.fna	2268204	Thermoplasmatales archaeon	Archaea	crispr_negative	Gram-negative
GCA_027366915.1_ASM2736691v1_genomic.fna	2268204	Thermoplasmatales archaeon	Archaea	crispr_negative	Gram-negative
GCA_027373715.1_ASM2737371v1_genomic.fna	2268204	Thermoplasmatales archaeon	Archaea	crispr_negative	Gram-negative
GCA_027379965.1_ASM2737996v1_genomic.fna	2268204	Thermoplasmatales archaeon	Archaea	crispr_negative	Gram-negative
GCA_027372665.1_ASM2737266v1_genomic.fna	2268204	Thermoplasmatales archaeon	Archaea	crispr_negative	Gram-negative
GCA_027381015.1_ASM2738101v1_genomic.fna	2268204	Thermoplasmatales archaeon	Archaea	crispr_negative	Gram-negative
GCA_027367435.1_ASM2736743v1_genomic.fna	2268204	Thermoplasmatales archaeon	Archaea	crispr_negative	Gram-negative
GCA_027328585.1_ASM2732858v1_genomic.fna	2268204	Thermoplasmatales archaeon	Archaea	crispr_positive	Gram-negative
GCA_027316415.1_ASM2731641v1_genomic.fna	2268204	Thermoplasmatales archaeon	Archaea	crispr_positive	Gram-negative
GCA_027336205.1_ASM2733620v1_genomic.fna	2268204	Thermoplasmatales archaeon	Archaea	crispr_positive	Gram-negative
GCA_027316485.1_ASM2731648v1_genomic.fna	2268204	Thermoplasmatales archaeon	Archaea	crispr_positive	Gram-negative
GCA_027312945.1_ASM2731294v1_genomic.fna	2268204	Thermoplasmatales archaeon	Archaea	crispr_positive	Gram-negative
GCA_027368965.1_ASM2736896v1_genomic.fna	2268204	Thermoplasmatales archaeon	Archaea	crispr_positive	Gram-negative
GCA_027336005.1_ASM2733600v1_genomic.fna	2268204	Thermoplasmatales archaeon	Archaea	crispr_positive	Gram-negative
GCA_027366895.1_ASM2736689v1_genomic.fna	2268204	Thermoplasmatales archaeon	Archaea	crispr_positive	Gram-negative
GCA_027314245.1_ASM2731424v1_genomic.fna	2268204	Thermoplasmatales archaeon	Archaea	crispr_positive	Gram-negative
GCA_027316505.1_ASM2731650v1_genomic.fna	2268204	Thermoplasmatales archaeon	Archaea	crispr_positive	Gram-negative
