"genome","seqid","Cas_id","type","subtype"
"GCA_001577555.1_ASM157755v1_genomic.fna","LSRU01000009.1","LSRU01000009.1@CAS:1","CAS","CAS"
"GCA_001577555.1_ASM157755v1_genomic.fna","LSRU01000009.1","LSRU01000009.1@CAS:2","TypeI","TypeIB"
"GCA_002496945.1_ASM249694v1_genomic.fna","DALY01000012.1","DALY01000012.1@CAS:1","CAS","CAS"
"GCA_002506905.1_ASM250690v1_genomic.fna","DAYM01000010.1","DAYM01000010.1@CAS:1","Type","TypeU"
"GCA_016866955.1_JGI_2017-08-21_genomic.fna","VGKT01000007.1","VGKT01000007.1@CAS:1","CAS","CAS"
"GCA_017601185.1_ASM1760118v1_genomic.fna","JAFNIZ010000028.1","JAFNIZ010000028.1@CAS:1","TypeIII","TypeIIIB"
"GCA_017610105.1_ASM1761010v1_genomic.fna","JAFCCR010000004.1","JAFCCR010000004.1@CAS:1","CAS","CAS"
"GCA_017610105.1_ASM1761010v1_genomic.fna","JAFCCR010000004.1","JAFCCR010000004.1@CAS:2","TypeI","TypeIC"
"GCA_018221245.1_ASM1822124v1_genomic.fna","JAAOYH010000030.1","JAAOYH010000030.1@CAS:1","CAS","CAS"
"GCA_018238585.1_ASM1823858v1_genomic.fna","JABCTA010000001.1","JABCTA010000001.1@CAS:1","CAS","CAS"
"GCA_018304025.1_ASM1830402v1_genomic.fna","JAGVXA010000006.1","JAGVXA010000006.1@CAS:1","CAS","CAS"
"GCA_018610085.1_ASM1861008v1_genomic.fna","JAHENR010000055.1","JAHENR010000055.1@CAS:1","TypeI","TypeIA"
"GCA_019594195.1_ASM1959419v1_genomic.fna","JAFDTP010000015.1","JAFDTP010000015.1@CAS:1","CAS","CAS"
"GCA_019685555.1_ASM1968555v1_genomic.fna","JABFQN010000008.1","JABFQN010000008.1@CAS:1","CAS","CAS"
"GCA_019685555.1_ASM1968555v1_genomic.fna","JABFQN010000008.1","JABFQN010000008.1@CAS:2","TypeI","TypeIA"
"GCA_019685555.1_ASM1968555v1_genomic.fna","JABFQN010000008.1","JABFQN010000008.1@CAS:3","TypeI","TypeIB"
"GCA_021852265.1_ASM2185226v1_genomic.fna","JAJZNV010000005.1","JAJZNV010000005.1@CAS:1","CAS","CAS"
"GCA_023139555.1_ASM2313955v1_genomic.fna","JAGLNI010000070.1","JAGLNI010000070.1@CAS:1","CAS","CAS"
"GCA_023139555.1_ASM2313955v1_genomic.fna","JAGLNI010000070.1","JAGLNI010000070.1@CAS:2","TypeI","TypeID"
"GCA_023252765.1_ASM2325276v1_genomic.fna","JALNJR010000002.1","JALNJR010000002.1@CAS:1","TypeI","TypeID"
"GCA_024278985.1_ASM2427898v1_genomic.fna","JAJRSC010000024.1","JAJRSC010000024.1@CAS:1","CAS","CAS"
"GCA_026552915.1_ASM2655291v1_genomic.fna","JAPMTT010000313.1","JAPMTT010000313.1@CAS:1","CAS","CAS"
"GCA_026552915.1_ASM2655291v1_genomic.fna","JAPMTT010000313.1","JAPMTT010000313.1@CAS:2","TypeI","TypeIA"
"GCA_026552915.1_ASM2655291v1_genomic.fna","JAPMTT010000313.1","JAPMTT010000313.1@CAS:3","TypeI","TypeIB"
"GCA_026552915.1_ASM2655291v1_genomic.fna","JAPMTT010000313.1","JAPMTT010000313.1@CAS:4","TypeIII","TypeIIIB"
"GCA_026552915.1_ASM2655291v1_genomic.fna","JAPMTT010000424.1","JAPMTT010000424.1@CAS:1","TypeI","TypeIE"
"GCA_026552915.1_ASM2655291v1_genomic.fna","JAPMTT010000424.1","JAPMTT010000424.1@CAS:2","CAS","CAS"
"GCA_026552915.1_ASM2655291v1_genomic.fna","JAPMTT010000424.1","JAPMTT010000424.1@CAS:3","TypeI","TypeIA"
"GCA_026986375.1_ASM2698637v1_genomic.fna","JALSOQ010000026.1","JALSOQ010000026.1@CAS:1","CAS","CAS"
"GCA_027003895.1_ASM2700389v1_genomic.fna","JALTIO010000333.1","JALTIO010000333.1@CAS:1","CAS","CAS"
"GCA_027076105.1_ASM2707610v1_genomic.fna","JALTHO010000690.1","JALTHO010000690.1@CAS:1","CAS","CAS"
"GCA_027076105.1_ASM2707610v1_genomic.fna","JALTHO010000690.1","JALTHO010000690.1@CAS:2","TypeI","TypeIB"
"GCA_027084045.1_ASM2708404v1_genomic.fna","JALWLS010000149.1","JALWLS010000149.1@CAS:1","TypeIII","TypeIIIU"
"GCA_027084045.1_ASM2708404v1_genomic.fna","JALWLS010000149.1","JALWLS010000149.1@CAS:2","TypeIII","TypeIIIA"
