user_genome	is_ani_classification	class_tree_mapped	classification_rule
GCA_000197855.1_ASM19785v1_genomic	True	1	Rule 7
GCA_000231525.2_ASM23152v2_genomic	True	1	Rule 7
GCA_000263395.1_ASM26339v1_genomic	True	1	Rule 7
GCA_000285815.1_ASM28581v1_genomic	True	1	Rule 7
GCA_000289135.1_ASM28913v1_genomic	True	6	Rule 7
GCA_000322765.1_ASM32276v1_genomic	True	6	Rule 7
GCA_000367385.1_ASM36738v1_genomic	True	6	Rule 7
GCA_000382525.1_Yersinia_pestis_G3768_assembly_genomic	True	1	Rule 7
GCA_000390045.1_ASM39004v1_genomic	True	6	Rule 7
GCA_000416345.1_PstB1SMN1_1.0_genomic	True	1	Rule 7
GCA_000505885.1_JD303.contigs_genomic	True	1	Rule 7
GCA_000505925.1_JD310.contigs_genomic	True	1	Rule 7
GCA_000506165.1_JD320.contigs_genomic	True	1	Rule 7
GCA_000599965.1_ASM59996v1_genomic	True	6	Rule 7
GCA_000734805.1_ASM73480v1_genomic	True	1	Rule 7
GCA_000738045.1_ASM73804v1_genomic	True	3	Rule 7
GCA_000760625.1_VF539_1.0_genomic	True	1	Rule 7
GCA_000777015.1_ASM77701v1_genomic	True	1	Rule 7
GCA_000777055.1_ASM77705v1_genomic	True	1	Rule 7
GCA_000777715.1_ASM77771v1_genomic	True	1	Rule 7
GCA_000777925.1_ASM77792v1_genomic	True	1	Rule 7
GCA_000778615.1_ASM77861v1_genomic	True	1	Rule 7
GCA_000778805.1_ASM77880v1_genomic	False	1	Rule 2
GCA_000781475.1_ASM78147v1_genomic	True	1	Rule 7
GCA_001038525.1_ASM103852v1_genomic	True	6	Rule 7
GCA_001280725.1_ASM128072v1_genomic	True	1	Rule 7
GCA_001294905.1_ASM129490v1_genomic	True	1	Rule 7
GCA_001294915.1_ASM129491v1_genomic	True	1	Rule 7
GCA_001295115.1_ASM129511v1_genomic	True	1	Rule 7
GCA_001316425.2_UNN41_S5v.02_genomic	True	1	Rule 7
GCA_001316635.2_7_S3v02_genomic	True	1	Rule 7
GCA_001317455.2_68_S34v.02_genomic	True	1	Rule 7
GCA_001566695.1_ASM156669v1_genomic	True	1	Rule 7
GCA_001700485.1_ASM170048v1_genomic	True	6	Rule 7
GCA_001865335.1_ASM186533v1_genomic	True	1	Rule 7
GCA_001920885.2_ASM192088v2_genomic	False	1	Rule 2
