"group","arc_genome","bac_genome","dis","arc_subtype","bac_subtype"
"Cas1","GCA_944319735.1_BRZ_CQ_bin1_genomic.fna","GCA_916438645.1_DRR214959_bin.47_metaWRAP_v1.1_MAG_genomic.fna",0.810502811,"TypeIC","TypeIC"
"Cas1","GCA_020696975.1_ASM2069697v1_genomic.fna","GCF_000283555.1_ASM28355v1_genomic.fna",0.732425705,"TypeIC","TypeIC"
"Cas1","GCF_000275865.1_ASM27586v1_genomic.fna","GCF_000283555.1_ASM28355v1_genomic.fna",0.701203433,"TypeIC","TypeIC"
"Cas1","GCF_000015765.1_ASM1576v1_genomic.fna","GCF_000283555.1_ASM28355v1_genomic.fna",0.703230163,"TypeIC","TypeIC"
"Cas1","GCF_026891935.1_ASM2689193v1_genomic.fna","GCF_000283555.1_ASM28355v1_genomic.fna",0.733120267,"TypeIC","TypeIC"
"Cas1","GCF_026891975.1_ASM2689197v1_genomic.fna","GCF_000283555.1_ASM28355v1_genomic.fna",0.720534173,"TypeIC","TypeIC"
"Cas1","GCA_934190985.1_ERR7738254_bin.79_genomic.fna","GCA_016595285.2_ASM1659528v2_genomic.fna",0.828716548,"TypeIE","TypeIE"
"Cas1","GCF_000063445.1_ASM6344v1_genomic.fna","GCF_000024985.1_ASM2498v1_genomic.fna",0.67210035,"TypeIE","TypeIE"
"Cas1","GCF_021023085.1_ASM2102308v1_genomic.fna","GCF_000024985.1_ASM2498v1_genomic.fna",0.690779915,"TypeIE","TypeIE"
"Cas1","GCF_000217995.1_ASM21799v1_genomic.fna","GCF_000012885.1_ASM1288v1_genomic.fna",0.523235141,"TypeIE","TypeIE"
"Cas1","GCF_003722075.1_MethanohalophilusRSK_genomic.fna","GCF_000012885.1_ASM1288v1_genomic.fna",0.493252357,"TypeIE","TypeIE"
"Cas1","GCA_002503825.1_ASM250382v1_genomic.fna","GCF_000012885.1_ASM1288v1_genomic.fna",0.404470974,"TypeIE","TypeIE"
"Cas1","GCF_023195915.1_ASM2319591v1_genomic.fna","GCF_000012885.1_ASM1288v1_genomic.fna",0.355576209,"TypeIE","TypeIE"
"Cas1","GCA_016699325.1_ASM1669932v1_genomic.fna","GCF_000012885.1_ASM1288v1_genomic.fna",0.66373565,"TypeIE","TypeIE"
"Cas1","GCF_013377755.1_ASM1337775v1_genomic.fna","GCF_000012885.1_ASM1288v1_genomic.fna",0.438807219,"TypeIE","TypeIE"
"Cas1","GCA_002505275.1_ASM250527v1_genomic.fna","GCF_011751945.2_ASM1175194v2_genomic.fna",0.881589606,"TypeIIA","TypeIIA"
"Cas1","GCA_002508625.1_ASM250862v1_genomic.fna","GCF_011751945.2_ASM1175194v2_genomic.fna",0.950435454,"TypeIIA","TypeIIA"
"Cas1","GCF_025641885.1_ASM2564188v1_genomic.fna","GCF_003337245.1_ASM333724v1_genomic.fna",2.36002197,"TypeIA","TypeIA"
"Cas1","GCA_026419835.1_ASM2641983v1_genomic.fna","GCF_003337245.1_ASM333724v1_genomic.fna",2.190408474,"TypeIA","TypeIA"
"Cas1","GCF_000591035.1_ASM59103v1_genomic.fna","GCF_003337245.1_ASM333724v1_genomic.fna",2.232321048,"TypeIA","TypeIA"
"Cas1","GCF_000243315.1_ASM24331v1_genomic.fna","GCF_003337245.1_ASM333724v1_genomic.fna",2.301898653,"TypeIA","TypeIA"
"Cas1","GCF_013343295.1_ASM1334329v1_genomic.fna","GCF_003337245.1_ASM333724v1_genomic.fna",2.447558854,"TypeIA","TypeIA"
"Cas1","GCA_000016605.1_ASM1660v1_genomic.fna","GCF_003337245.1_ASM333724v1_genomic.fna",2.58803373,"TypeIA","TypeIA"
"Cas1","GCF_000213215.1_ASM21321v1_genomic.fna","GCF_003337245.1_ASM333724v1_genomic.fna",2.636309648,"TypeIA","TypeIA"
"Cas1","GCF_000245275.1_ASM24527v2_genomic.fna","GCF_003337245.1_ASM333724v1_genomic.fna",2.740913223,"TypeIA","TypeIA"
"Cas1","GCF_003201765.2_ASM320176v2_genomic.fna","GCF_003337245.1_ASM333724v1_genomic.fna",2.745638336,"TypeIA","TypeIA"
"Cas1","GCF_000223395.1_ASM22339v1_genomic.fna","GCF_003337245.1_ASM333724v1_genomic.fna",2.438646945,"TypeIA","TypeIA"
"Cas1","GCF_000231015.2_ASM23101v3_genomic.fna","GCF_003337245.1_ASM333724v1_genomic.fna",2.236993575,"TypeIA","TypeIA"
"Cas1","GCF_000264495.1_ASM26449v1_genomic.fna","GCF_003337245.1_ASM333724v1_genomic.fna",2.216757852,"TypeIA","TypeIA"
"Cas1","GCF_014876775.1_ASM1487677v1_genomic.fna","GCF_003337245.1_ASM333724v1_genomic.fna",2.204199318,"TypeIA","TypeIA"
"Cas1","GCF_000011125.1_ASM1112v1_genomic.fna","GCF_003337245.1_ASM333724v1_genomic.fna",2.295686151,"TypeIA","TypeIA"
"Cas1","GCF_000190315.1_ASM19031v1_genomic.fna","GCF_003337245.1_ASM333724v1_genomic.fna",2.400448983,"TypeIA","TypeIA"
"Cas1","GCF_001412615.1_ASM141261v1_genomic.fna","GCF_003337245.1_ASM333724v1_genomic.fna",2.671947776,"TypeIA","TypeIA"
"Cas1","GCA_000145985.1_ASM14598v1_genomic.fna","GCF_003337245.1_ASM333724v1_genomic.fna",2.096740579,"TypeIA","TypeIA"
"Cas1","GCA_019057385.1_ASM1905738v1_genomic.fna","GCF_003337245.1_ASM333724v1_genomic.fna",1.718768071,"TypeIB","TypeIA"
"Cas1","GCF_001477655.1_ASM147765v1_genomic.fna","GCF_003337245.1_ASM333724v1_genomic.fna",1.822420477,"TypeIIIA","TypeIA"
"Cas1","GCA_004028775.1_ASM402877v1_genomic.fna","GCF_003337245.1_ASM333724v1_genomic.fna",1.699915936,"TypeIA","TypeIA"
"Cas1","GCA_002009985.2_ASM200998v2_genomic.fna","GCF_003337245.1_ASM333724v1_genomic.fna",1.627816354,"TypeIA","TypeIA"
"Cas1","GCF_000251105.1_ASM25110v1_genomic.fna","GCF_003337245.1_ASM333724v1_genomic.fna",1.663226674,"TypeIA","TypeIA"
"Cas1","GCF_001027005.1_ASM102700v1_genomic.fna","GCF_000020365.1_ASM2036v1_genomic.fna",1.947472493,"TypeIIIA","TypeIB"
"Cas1","GCF_905220655.1_NU5A1_genomic.fna","GCF_000020365.1_ASM2036v1_genomic.fna",2.030713473,"TypeIB","TypeIB"
"Cas1","GCF_000698785.1_ASM69878v1_genomic.fna","GCF_000020365.1_ASM2036v1_genomic.fna",2.143923912,"TypeIB","TypeIB"
"Cas1","GCF_000730285.1_ASM73028v1_genomic.fna","GCF_000020365.1_ASM2036v1_genomic.fna",2.135034124,"TypeIB","TypeIB"
"Cas1","GCA_001766815.1_ASM176681v1_genomic.fna","GCA_002441005.1_ASM244100v1_genomic.fna",0.678701998,"TypeIB","TypeIB"
"Cas1","GCF_000970045.1_ASM97004v1_genomic.fna","GCA_002441005.1_ASM244100v1_genomic.fna",0.722037579,"TypeIB","TypeIB"
