Assembly Accession	Assembly Name	Organism Name	Organism Taxonomic ID	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Stats Total Sequence Length	Assembly Stats Total Number of Chromosomes	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Contig N50	Assembly Stats Scaffold N50	Assembly Stats Number of Scaffolds
GCF_000005845.2	ASM584v2	Escherichia coli str. K-12 substr. MG1655	511145		K-12 substr. MG1655					Annotation submitted by NCBI RefSeq	4641652	1	Complete Genome	2013-09-26		4641652	4641652	1
GCF_000008865.2	ASM886v2	Escherichia coli O157:H7 str. Sakai	386585		Sakai substr. RIMD 0509952					Annotation submitted by NCBI RefSeq	5594605	3	Complete Genome	2018-06-08		5498578	5498578	3
GCF_002853715.1	ASM285371v1	Escherichia coli	562		14EC020					GCF_002853715.1-RS_2024_06_15	5145882	3	Complete Genome	2018-01-03		4914884	4914884	3
GCF_000013265.1	ASM1326v1	Escherichia coli UTI89	364106		UTI89					GCF_000013265.1-RS_2024_06_01	5179971	2	Complete Genome	2006-04-05		5065741	5065741	2
GCF_003697165.2	ASM369716v2	Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775	866789		ATCC 11775					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5034834	2	Complete Genome	2018-12-20		4903501	4903501	2
GCF_000210475.1	ASM21047v1	Escherichia coli ETEC H10407	316401		ETEC H10407					GCF_000210475.1-RS_2024_06_01	5325888	5	Complete Genome	2010-10-21		5153435	5153435	5
GCF_000010385.1	ASM1038v1	Escherichia coli SE11	409438		SE11					GCF_000010385.1-RS_2024_06_01	5155626	7	Complete Genome	2008-10-22		4887515	4887515	7
GCF_000019645.1	ASM1964v1	Escherichia coli SMS-3-5	439855		SMS-3-5					GCF_000019645.1-RS_2024_06_01	5215377	5	Complete Genome	2008-03-20		5068389	5068389	5
GCF_003018455.1	ASM301845v1	Escherichia coli	562		97-3250					GCF_003018455.1-RS_2024_06_16	6156163	3	Complete Genome	2018-03-26		5942969	5942969	3
GCF_024300685.1	ASM2430068v1	Escherichia coli	562		2003-3014					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5955072	6	Complete Genome	2022-07-18		5840137	5840137	6
