user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
GCA_002686495.1_ASM268649v1_genomic	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Poseidoniaceae;g__Poseidonia;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Poseidoniaceae;g__Poseidonia;s__	taxonomic classification defined by topology and ANI	N/A	GCA_002689105.1, s__Poseidonia sp002689105, 95.0, 81.31, 0.601; GCA_002495645.1, s__Poseidonia sp002495645, 95.0, 80.78, 0.614; GCA_002497765.1, s__Poseidonia sp002497765, 95.0, 79.56, 0.44; GCA_002725275.1, s__Poseidonia sp002725275, 95.0, 79.23, 0.437; GCA_002714305.1, s__Poseidonia sp002714305, 95.0, 78.74, 0.379; GCA_902625885.1, s__Poseidonia sp902625885, 95.0, 78.65, 0.261; GCA_002704515.1, s__Poseidonia sp002704515, 95.0, 78.42, 0.307; GCA_002694525.1, s__Poseidonia sp002694525, 95.0, 78.37, 0.37; GCA_002722695.1, s__Poseidonia sp002722695, 95.0, 78.36, 0.3; GCA_002728035.1, s__Poseidonia sp002728035, 95.0, 78.3, 0.285; GCA_013330155.1, s__Poseidonia sp8339u, 95.0, 78.25, 0.312; GCA_002502295.1, s__Poseidonia sp002502295, 95.0, 77.97, 0.377; GCA_016779705.1, s__Poseidonia sp016779705, 95.0, 77.64, 0.225; GCA_023254365.1, s__Poseidonia sp023254365, 95.0, 77.61, 0.273; GCA_011524855.1, s__Poseidonia sp011524855, 95.0, 77.4, 0.242; GCA_023254355.1, s__Poseidonia sp023254355, 95.0, 77.36, 0.239; GCA_003602475.1, s__Poseidonia sp003602475, 95.0, 76.54, 0.222	44.06	11	0.9804	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
GCA_002728975.1_ASM272897v1_genomic	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-O1;s__MGIIb-O1 sp002497025	GCA_002497025.1	95.0	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-O1;s__MGIIb-O1 sp002497025	97.16	0.764	GCA_002497025.1	95.0	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-O1;s__MGIIb-O1 sp002497025	97.16	0.764	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-O1;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_022451235.1, s__MGIIb-O1 sp022451235, 95.0, 93.86, 0.838; GCA_902560445.1, s__MGIIb-O1 sp902560445, 95.0, 92.91, 0.602; GCA_002457555.1, s__MGIIb-O1 sp002457555, 95.0, 91.22, 0.725; GCA_002502175.1, s__MGIIb-O1 sp002502175, 95.0, 84.23, 0.767; GCA_002496905.1, s__MGIIb-O1 sp002496905, 95.0, 83.87, 0.673; GCA_023268715.1, s__MGIIb-O1 sp023268715, 95.0, 83.02, 0.712; GCA_002685415.1, s__MGIIb-O1 sp002685415, 95.0, 81.77, 0.573; GCA_002708385.1, s__MGIIb-O1 sp002708385, 95.0, 80.24, 0.395; GCA_002502365.1, s__MGIIb-O1 sp002502365, 95.0, 79.59, 0.406; GCA_022449345.1, s__MGIIb-O1 sp022449345, 95.0, 78.71, 0.547	47.33	11	N/A	N/A
GCA_003139895.1_20110800_S2D_genomic	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003139855	GCA_003139855.1	96.4034	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003139855	99.76	0.955	GCA_003139855.1	96.4034	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003139855	99.76	0.955	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_003158275.1, s__Bog-38 sp003158275, 96.4034, 96.41, 0.624; GCA_015661395.1, s__Bog-38 sp015661395, 95.0, 89.05, 0.757; GCA_003162175.1, s__Bog-38 sp003162175, 95.0, 88.77, 0.814; GCA_015660915.1, s__Bog-38 sp015660915, 95.0, 80.35, 0.512; GCA_003170935.1, s__Bog-38 sp003170935, 95.0, 79.05, 0.323	96.21	11	N/A	N/A
GCA_003164815.1_20120700_S1D_genomic	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__UBA183;g__BOG-1369;s__BOG-1369 sp003164815	GCA_003164815.1	95.0	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__UBA183;g__BOG-1369;s__BOG-1369 sp003164815	100.0	0.991	GCA_003164815.1	95.0	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__UBA183;g__BOG-1369;s__BOG-1369 sp003164815	100.0	0.991	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__UBA183;g__BOG-1369;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_021791695.1, s__BOG-1369 sp021791695, 95.0, 77.92, 0.23	88.63	11	N/A	N/A
GCA_003230355.1_ASM323035v1_genomic	d__Archaea;p__Hydrothermarchaeota;c__Hydrothermarchaeia;o__Hydrothermarchaeales;f__SZUA-236;g__SZUA-236;s__SZUA-236 sp003230355	GCA_003230355.1	95.0	d__Archaea;p__Hydrothermarchaeota;c__Hydrothermarchaeia;o__Hydrothermarchaeales;f__SZUA-236;g__SZUA-236;s__SZUA-236 sp003230355	100.0	0.984	GCA_003230355.1	95.0	d__Archaea;p__Hydrothermarchaeota;c__Hydrothermarchaeia;o__Hydrothermarchaeales;f__SZUA-236;g__SZUA-236;s__SZUA-236 sp003230355	100.0	0.984	d__Archaea;p__Hydrothermarchaeota;c__Hydrothermarchaeia;o__Hydrothermarchaeales;f__SZUA-236;g__SZUA-236;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_002923215.1, s__SZUA-236 sp002923215, 95.0, 85.94, 0.681	83.52	11	N/A	N/A
GCA_003562145.1_ASM356214v1_genomic	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__21-14-0-10-32-9;g__PWWA01;s__PWWA01 sp003562145	GCA_003562145.1	95.0	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__21-14-0-10-32-9;g__PWWA01;s__PWWA01 sp003562145	100.0	0.987	GCA_003562145.1	95.0	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__21-14-0-10-32-9;g__PWWA01;s__PWWA01 sp003562145	100.0	0.987	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__21-14-0-10-32-9;g__PWWA01;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_007131205.1, s__PWWA01 sp007131205, 95.0, 80.52, 0.584; GCA_003560545.1, s__PWWA01 sp003560545, 95.0, 79.8, 0.416	38.79	11	N/A	N/A
GCA_003601735.1_ASM360173v1_genomic	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__B26-1;f__B26-1;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__B26-1;f__B26-1;g__;s__	taxonomic novelty determined using RED	N/A	N/A	29.18	11	0.83295	N/A
GCA_003649055.1_ASM364905v1_genomic	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__ARS49;g__JAFCDQ01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__ARS49;g__;s__	taxonomic novelty determined using RED	N/A	N/A	62.19	11	0.88988	Genome has more than 11.3% of markers with multiple hits
GCA_003649205.1_ASM364920v1_genomic	d__Archaea;p__Thermoproteota;c__Thermoprotei;o__Thermoproteales;f__B15-G16;g__B15-G16;s__B15-G16 sp003649205	GCA_003649205.1	95.0	d__Archaea;p__Thermoproteota;c__Thermoprotei;o__Thermoproteales;f__B15-G16;g__B15-G16;s__B15-G16 sp003649205	100.0	0.93	GCA_003649205.1	95.0	d__Archaea;p__Thermoproteota;c__Thermoprotei;o__Thermoproteales;f__B15-G16;g__B15-G16;s__B15-G16 sp003649205	100.0	0.93	d__Archaea;p__Thermoproteota;c__Thermoprotei;o__Thermoproteales;f__;g__;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	99.21	11	N/A	N/A
GCA_003649225.1_ASM364922v1_genomic	d__Archaea;p__Thermoproteota;c__Thermoprotei;o__Thermofilales;f__B9-G17;g__B9-G17;s__B9-G17 sp003649225	GCA_003649225.1	95.0	d__Archaea;p__Thermoproteota;c__Thermoprotei;o__Thermofilales;f__B9-G17;g__B9-G17;s__B9-G17 sp003649225	100.0	0.982	GCA_003649225.1	95.0	d__Archaea;p__Thermoproteota;c__Thermoprotei;o__Thermofilales;f__B9-G17;g__B9-G17;s__B9-G17 sp003649225	100.0	0.982	d__Archaea;p__Thermoproteota;c__Thermoprotei;o__Thermofilales;f__;g__;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	82.2	11	N/A	N/A
GCA_003649235.1_ASM364923v1_genomic	d__Archaea;p__Thermoproteota;c__Thermoprotei;o__Thermofilales;f__B69-G16;g__B69-G16;s__B69-G16 sp003649235	GCA_003649235.1	95.0	d__Archaea;p__Thermoproteota;c__Thermoprotei;o__Thermofilales;f__B69-G16;g__B69-G16;s__B69-G16 sp003649235	100.0	0.984	GCA_003649235.1	95.0	d__Archaea;p__Thermoproteota;c__Thermoprotei;o__Thermofilales;f__B69-G16;g__B69-G16;s__B69-G16 sp003649235	100.0	0.984	d__Archaea;p__Thermoproteota;c__Thermoprotei;o__Thermofilales;f__B69-G16;g__B69-G16;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	83.4	11	N/A	N/A
GCA_003649305.1_ASM364930v1_genomic	d__Archaea;p__Thermoproteota;c__Thermoprotei;o__Thermofilales;f__B15-G2;g__B15-G2;s__B15-G2 sp003650815	GCA_003650815.1	95.0	d__Archaea;p__Thermoproteota;c__Thermoprotei;o__Thermofilales;f__B15-G2;g__B15-G2;s__B15-G2 sp003650815	99.31	0.753	GCA_003650815.1	95.0	d__Archaea;p__Thermoproteota;c__Thermoprotei;o__Thermofilales;f__B15-G2;g__B15-G2;s__B15-G2 sp003650815	99.31	0.753	d__Archaea;p__Thermoproteota;c__Thermoprotei;o__Thermofilales;f__B15-G2;g__B15-G2;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_003649445.1, s__B15-G2 sp003649445, 95.0, 80.71, 0.335	85.66	11	N/A	N/A
GCA_003649425.1_ASM364942v1_genomic	d__Archaea;p__Thermoproteota;c__Thermoprotei;o__Thermofilales;f__B69-G16;g__B69-G16;s__B69-G16 sp021161825	GCA_021161825.1	95.0	d__Archaea;p__Thermoproteota;c__Thermoprotei;o__Thermofilales;f__B69-G16;g__B69-G16;s__B69-G16 sp021161825	97.74	0.871	GCA_021161825.1	95.0	d__Archaea;p__Thermoproteota;c__Thermoprotei;o__Thermofilales;f__B69-G16;g__B69-G16;s__B69-G16 sp021161825	97.74	0.871	d__Archaea;p__Thermoproteota;c__Thermoprotei;o__Thermofilales;f__B69-G16;g__B69-G16;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	58.67	11	N/A	N/A
GCA_003649665.1_ASM364966v1_genomic	d__Archaea;p__Thermoproteota;c__Thermoprotei;o__QMSL01;f__B3-G16;g__B3-G16;s__B3-G16 sp003649665	GCA_003649665.1	95.0	d__Archaea;p__Thermoproteota;c__Thermoprotei;o__QMSL01;f__B3-G16;g__B3-G16;s__B3-G16 sp003649665	100.0	0.978	GCA_003649665.1	95.0	d__Archaea;p__Thermoproteota;c__Thermoprotei;o__QMSL01;f__B3-G16;g__B3-G16;s__B3-G16 sp003649665	100.0	0.978	d__Archaea;p__Thermoproteota;c__Thermoprotei;o__QMSL01;f__B3-G16;g__B3-G16;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	84.25	11	N/A	N/A
